raw_csv_parameter_name,shape,direction,effect_range_yield_pct,shape_fold_consistency,direction_fold_consistency,evidence_label,reason,observed_x_min,observed_x_max
MEASURE_ET_DC_SEC_Gm_m0p2,complex_nonmonotonic,n/a,1.5778,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",401.024121,647.167017
THIN_ET_HIRS,threshold,n/a,1.5776,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",45.876436,59.651625
SIN_ET_DC_RF_Vp_1,complex_nonmonotonic,n/a,1.5753,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",-1.435631,-0.754327
MEASURE_ET_DC_SEC_S_Ids_max_norm_FPSD3p2,monotonic,positive,1.5751,3/5,5/5,MODERATE,"Shape consistent in 3/5 folds, direction in 5/5 -- majority but not unanimous.",76.483233,91.70992
MEASURE_ET_DC_SEC_S_Ids_max_FPSD3p2,monotonic,positive,1.5743,0/5,4/5,MODERATE,"Shape consistent in 0/5 folds, direction in 4/5 -- majority but not unanimous.",25.651839,37.216602
MEASURE_ET_RF_Modeling_S22ang_10GHz,complex_nonmonotonic,n/a,1.572,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",-17.598413,-7.6267
THIN_ET_i5021_1,monotonic,positive,1.5682,1/5,3/5,MODERATE,"Shape consistent in 1/5 folds, direction in 3/5 -- majority but not unanimous.",57.924926,70.186635
THIN_ET_DC_RF_Vdg_max,threshold,n/a,1.5677,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",58.53651,71.430725
FIC_ET_C200S1,complex_nonmonotonic,n/a,1.5667,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",0.551083,1.060849
SIN_GATE_ET_Ran_con_2,threshold,positive,1.5607,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",88.343418,104.869341
THIN_ET_F_AB,monotonic,positive,1.5597,1/5,3/5,MODERATE,"Shape consistent in 1/5 folds, direction in 3/5 -- majority but not unanimous.",75.585055,91.433376
MEASURE_ET_RF_Modeling_Ft_int,threshold,positive,1.5576,3/5,2/5,MODERATE,"Shape consistent in 3/5 folds, direction in 2/5 -- majority but not unanimous.",90.618207,105.875049
TOPSIN_ET_Vds_max,complex_nonmonotonic,n/a,1.5576,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",21.571113,33.659356
MEASURE_ET_DC_RF_CF_S22_Mag_L1002,threshold,positive,1.5554,2/5,4/5,MODERATE,"Shape consistent in 2/5 folds, direction in 4/5 -- majority but not unanimous.",12.792705,18.058944
MEASURE_ET_DC_SEC_S_Ids_max_norm_SD3p5,threshold,n/a,1.5539,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",64.107888,77.030139
MEASURE_ET_DC_Big_Vdg_max,threshold,positive,1.5521,3/5,4/5,MODERATE,"Shape consistent in 3/5 folds, direction in 4/5 -- majority but not unanimous.",71.746917,85.494685
FIC_ET_sh_f_tn_23,threshold,n/a,1.5508,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",11.607081,23.706647
TOPSIN_ET_Vg_gm_max,complex_nonmonotonic,n/a,1.542,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",383.556568,688.033266
BRGM_ET_KLV_F_AB_4u,complex_nonmonotonic,n/a,1.5414,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",417.811915,659.399673
TOPSIN_ET_DC_SMALL_Imax,complex_nonmonotonic,n/a,1.5404,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",478.666305,834.236865
THIN_ET_Ran_con_3_OW_CR,threshold,positive,1.5375,3/5,4/5,MODERATE,"Shape consistent in 3/5 folds, direction in 4/5 -- majority but not unanimous.",42.601563,55.178457
MEASURE_ET_Rcat_cn_1,complex_nonmonotonic,n/a,1.535,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",0.094965,0.292935
MEASURE_ET_DC_RF_Vdg_max_0p1,threshold,positive,1.5344,4/5,2/5,MODERATE,"Shape consistent in 4/5 folds, direction in 2/5 -- majority but not unanimous.",54.598454,68.146851
MEASURE_ET_RF_Modeling_Delta_MAG_19G,monotonic,positive,1.525,0/5,3/5,MODERATE,"Shape consistent in 0/5 folds, direction in 3/5 -- majority but not unanimous.",12.603377,18.924953
MEASURE_ET_LT_SEC_Vg_Id_min_Vd3,monotonic,positive,1.5191,1/5,4/5,MODERATE,"Shape consistent in 1/5 folds, direction in 4/5 -- majority but not unanimous.",67.949443,81.881463
THIN_ET_TFR_AB,monotonic,positive,1.5134,1/5,3/5,MODERATE,"Shape consistent in 1/5 folds, direction in 3/5 -- majority but not unanimous.",80.70519,95.832333
MEASURE_ET_DC_SEC_S_Vg_at_I3_pos,monotonic,positive,1.5115,1/5,3/5,MODERATE,"Shape consistent in 1/5 folds, direction in 3/5 -- majority but not unanimous.",91.934138,109.933035
MEASURE_ET_C100C175pf,complex_nonmonotonic,n/a,1.5095,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",0.465132,1.102722
MEASURE_ET_DC_SEC_S_Ig_cut1_mAmm_pos_FPSD3p2,monotonic,positive,1.504,2/5,4/5,MODERATE,"Shape consistent in 2/5 folds, direction in 4/5 -- majority but not unanimous.",78.788841,95.782232
MEASURE_ET_RF_Modeling_Cgd,monotonic,positive,1.503,1/5,4/5,MODERATE,"Shape consistent in 1/5 folds, direction in 4/5 -- majority but not unanimous.",73.368656,89.011514
MEASURE_ET_C100CapFICBRGM,complex_nonmonotonic,n/a,1.5019,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",400.07691,668.787626
MEASURE_ET_DC_RF_CF_S12_Mag_L1002,monotonic,positive,1.5019,2/5,4/5,MODERATE,"Shape consistent in 2/5 folds, direction in 4/5 -- majority but not unanimous.",12.363424,17.711908
BRGM_ET_lkg_SY8_80,complex_nonmonotonic,n/a,1.5004,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",399.062045,691.355812
MEASURE_ET_DC_SEC_S_Ig_cut2_mAmm_pos,monotonic,positive,1.4979,1/5,5/5,MODERATE,"Shape consistent in 1/5 folds, direction in 5/5 -- majority but not unanimous.",81.141016,96.669216
MEASURE_ET_RF_Modeling_Gm_err,monotonic,positive,1.4976,0/5,3/5,MODERATE,"Shape consistent in 0/5 folds, direction in 3/5 -- majority but not unanimous.",379.676718,653.465293
THIN_ET_Ran_con_2_OW_CR,complex_nonmonotonic,n/a,1.4921,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",33.343129,47.995244
MEASURE_ET_RF_Modeling_S22dB_10GHz,complex_nonmonotonic,n/a,1.49,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",-18.858272,-7.552691
MEASURE_ET_DC_RF_Imax_W,complex_nonmonotonic,n/a,1.4881,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",486.560213,855.226751
MEASURE_ET_RF_Modeling_R_Gs,monotonic,positive,1.4879,0/5,3/5,MODERATE,"Shape consistent in 0/5 folds, direction in 3/5 -- majority but not unanimous.",10.610003,21.47016
MEASURE_ET_DC_RF_Vdg_max,monotonic,positive,1.4875,2/5,3/5,MODERATE,"Shape consistent in 2/5 folds, direction in 3/5 -- majority but not unanimous.",86.422084,100.283971
MEASURE_ET_DC_SMALL_Gm_max,complex_nonmonotonic,n/a,1.4826,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",394.833127,653.937598
SIN_ET_DC_RF_Vg_optt1,monotonic,positive,1.4807,1/5,4/5,MODERATE,"Shape consistent in 1/5 folds, direction in 4/5 -- majority but not unanimous.",63.061993,78.643296
MEASURE_ET_TF_AB_2,complex_nonmonotonic,n/a,1.4677,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",13.219111,24.415443
MEASURE_ET_DC_Big_S22ang_10GHz,complex_nonmonotonic,n/a,1.4631,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",-17.137012,-6.466809
TOPSIN_ET_DC_SMALL_Vg_optt,monotonic,positive,1.458,0/5,3/5,MODERATE,"Shape consistent in 0/5 folds, direction in 3/5 -- majority but not unanimous.",60.80812,75.541833
THIN_ET_DC_RF_Ids_m0p2,monotonic,positive,1.4546,0/5,4/5,MODERATE,"Shape consistent in 0/5 folds, direction in 4/5 -- majority but not unanimous.",66.36142,81.14681
MEASURE_ET_Load_Pull_Freq,threshold,n/a,1.4545,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",63.442807,76.493578
MEASURE_ET_DC_SEC_X_Id_at_Vboff_mA_mm_FPSD3p2,monotonic,positive,1.4497,0/5,3/5,MODERATE,"Shape consistent in 0/5 folds, direction in 3/5 -- majority but not unanimous.",83.935531,98.519014
MEASURE_ET_DC_SEC_Vg_max_ON,threshold,n/a,1.4494,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",75.05352,88.616122
OHMIC_ET_Ran_con_3,threshold,positive,1.4494,3/5,1/5,MODERATE,"Shape consistent in 3/5 folds, direction in 1/5 -- majority but not unanimous.",79.144908,92.737042
MEASURE_ET_DC_SEC_Vgs_0p5V,monotonic,positive,1.4476,1/5,4/5,MODERATE,"Shape consistent in 1/5 folds, direction in 4/5 -- majority but not unanimous.",83.243648,96.285054
THIN_ET_R_f_tn_3,monotonic,positive,1.4446,0/5,4/5,MODERATE,"Shape consistent in 0/5 folds, direction in 4/5 -- majority but not unanimous.",75.834578,90.307575
MEASURE_ET_DC_SEC_S_Id_at_Vboff_mA_mm,monotonic,positive,1.4434,1/5,3/5,MODERATE,"Shape consistent in 1/5 folds, direction in 3/5 -- majority but not unanimous.",76.81018,92.370525
TOPSIN_ET_R114,complex_nonmonotonic,n/a,1.4309,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",4.779362,17.218428
MEASURE_ET_G2_per_6K,threshold,positive,1.4264,2/5,5/5,MODERATE,"Shape consistent in 2/5 folds, direction in 5/5 -- majority but not unanimous.",78.519433,93.593246
MEASURE_ET_Load_Pull_Id_ini,threshold,positive,1.4211,5/5,2/5,MODERATE,"Shape consistent in 5/5 folds, direction in 2/5 -- majority but not unanimous.",56.084364,69.735271
MEASURE_ET_C175pf,monotonic,positive,1.4198,1/5,3/5,MODERATE,"Shape consistent in 1/5 folds, direction in 3/5 -- majority but not unanimous.",67.522556,80.825667
MEASURE_ET_DC_SEC_X_Vg_at_I3_neg,complex_nonmonotonic,n/a,1.415,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",32.842066,46.58253
MEASURE_ET_CapFICM1_0,complex_nonmonotonic,n/a,1.4135,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",0.501195,1.14853
TOPSIN_ET_DC_RF_n_gs,complex_nonmonotonic,n/a,1.4115,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",27.443716,37.276129
MEASURE_ET_DC_RF_S22ang_26GHz_W,threshold,n/a,1.4046,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",-16.380941,-6.48909
SIN_GATE_ET_I_5,threshold,positive,1.4017,3/5,0/5,MODERATE,"Shape consistent in 3/5 folds, direction in 0/5 -- majority but not unanimous.",73.930066,89.660715
MEASURE_ET_RF_Modeling_Cgs_err,threshold,positive,1.4005,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",92.370006,108.317277
MEASURE_ET_DC_RF_CF_S11_Mag_L1018,complex_nonmonotonic,n/a,1.3996,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",12.563271,17.889156
TOPSIN_ET_Load_Pull_GL_meas,threshold,n/a,1.3944,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",58.550541,73.383452
FIC_ET_R_f_hr_2,threshold,positive,1.3887,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",40.925804,53.407412
MEASURE_ET_DC_RF_CF_S22_Ph_L2180,threshold,n/a,1.3758,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",-17.435632,-6.873736
TOPSIN_ET_KLV_F_AB_4u,complex_nonmonotonic,n/a,1.3624,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",32.331985,43.237737
MEASURE_ET_TR_1F,monotonic,positive,1.3555,2/5,3/5,MODERATE,"Shape consistent in 2/5 folds, direction in 3/5 -- majority but not unanimous.",92.229579,107.107952
FIC_ET_DC_RF_Vdg_max_0p1mA,threshold,negative,1.3486,4/5,2/5,MODERATE,"Shape consistent in 4/5 folds, direction in 2/5 -- majority but not unanimous.",1.197663,12.21541
MEASURE_ET_C300FM1,threshold,negative,1.3391,3/5,2/5,MODERATE,"Shape consistent in 3/5 folds, direction in 2/5 -- majority but not unanimous.",0.560683,1.09905
MEASURE_ET_DC_SEC_S_Ig_cut3_mAmm_neg_FPSD3p2,complex_nonmonotonic,n/a,1.3382,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",18.931313,32.858115
THIN_ET_R_f_hr_3,threshold,positive,1.3258,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",87.558535,103.412378
TOPSIN_ET_DC_SMALL_Vt_gd,complex_nonmonotonic,n/a,1.3059,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",16.042294,27.42718
MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_first_SD3p5,complex_nonmonotonic,n/a,1.2972,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",-1.385265,-0.726147
MEASURE_ET_DC_RF_Vg_Vbon_min,threshold,n/a,1.2964,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",36.169904,51.534935
BRGM_ET_Rsh_F_AB_2,complex_nonmonotonic,n/a,1.2961,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",396.624599,681.133401
MEASURE_ET_RF_Modeling_Id_gm_max_W,complex_nonmonotonic,n/a,1.2941,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",382.891341,663.131897
SIN_ET_DC_RF_Vdg_max_0p1,threshold,positive,1.2919,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",91.202494,106.83162
SIN_GATE_ET_R314,threshold,positive,1.2907,4/5,2/5,MODERATE,"Shape consistent in 4/5 folds, direction in 2/5 -- majority but not unanimous.",61.97722,76.626568
MEASURE_ET_C_CAT_2_OW_ST,threshold,positive,1.2904,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",88.057667,106.878874
MEASURE_ET_C175pf_0,threshold,n/a,1.2904,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",90.811793,108.516449
BRIDGE_METAL_Height_Final_TOP_metal_thickness,complex_nonmonotonic,n/a,1.2889,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",1.906202,2.526462
MEASURE_ET_C100USV_Cappf,complex_nonmonotonic,n/a,1.2786,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",0.521945,1.199089
MEASURE_ET_RF_Modeling_Rgs,threshold,positive,1.2693,4/5,2/5,MODERATE,"Shape consistent in 4/5 folds, direction in 2/5 -- majority but not unanimous.",61.523783,76.249107
THIN_ET_TANR,threshold,n/a,1.2669,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",77.388375,91.487615
TOPSIN_ET_C100C385pf,complex_nonmonotonic,n/a,1.2655,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",0.561336,1.152735
MEASURE_ET_DC_Stress_Id_stress_after,threshold,n/a,1.265,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",34.383792,47.055993
MEASURE_ET_DC_RF_MAG_26GHz_W,complex_nonmonotonic,n/a,1.2578,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",11.614629,17.711309
FIC_ET_R_f_tn_1,threshold,n/a,1.2539,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",26.942386,38.311508
MEASURE_ET_i5021_2,threshold,positive,1.2457,4/5,3/5,MODERATE,"Shape consistent in 4/5 folds, direction in 3/5 -- majority but not unanimous.",55.433787,69.904656
MEASURE_ET_DC_RF_Vds_max_0p1,complex_nonmonotonic,n/a,1.2437,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",33.367661,45.763468
MEASURE_ET_RF_Modeling_Rgd,threshold,positive,1.2436,4/5,3/5,MODERATE,"Shape consistent in 4/5 folds, direction in 3/5 -- majority but not unanimous.",25.322161,34.824788
SIN_GATE_ET_OHMIC_conc,threshold,positive,1.2345,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",90.834025,107.910799
MEASURE_ET_DC_RD_Id_Vbon_min,monotonic,positive,1.2241,1/5,4/5,MODERATE,"Shape consistent in 1/5 folds, direction in 4/5 -- majority but not unanimous.",46.31701,57.506901
MEASURE_ET_DC_SEC_X_Id_at_Vboff_mA_mm,threshold,positive,1.2237,3/5,4/5,MODERATE,"Shape consistent in 3/5 folds, direction in 4/5 -- majority but not unanimous.",63.669912,77.830932
MEASURE_ET_RF_Modeling_Vd_stress,monotonic,positive,1.2233,1/5,3/5,MODERATE,"Shape consistent in 1/5 folds, direction in 3/5 -- majority but not unanimous.",86.650972,103.120702
THIN_ET_R114,threshold,n/a,1.2233,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",29.858165,42.915703
MEASURE_ET_DC_PIV_Idss_QP2,threshold,positive,1.2175,3/5,2/5,MODERATE,"Shape consistent in 3/5 folds, direction in 2/5 -- majority but not unanimous.",241.446262,471.079967
MEASURE_ET_DC_SEC_Vp_1mA,complex_nonmonotonic,n/a,1.2151,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",-1.381324,-0.739031
MEASURE_ET_sh_f_hr_23,threshold,positive,1.2046,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",45.694006,61.143419
THIN_ET_R_400_HOR,threshold,positive,1.1994,3/5,1/5,MODERATE,"Shape consistent in 3/5 folds, direction in 1/5 -- majority but not unanimous.",30.355348,42.420537
MEASURE_ET_RF_Modeling_Vg_Stress,threshold,positive,1.1862,4/5,3/5,MODERATE,"Shape consistent in 4/5 folds, direction in 3/5 -- majority but not unanimous.",78.73999,92.839373
FIC_ET_DC_RF_Vp_1,threshold,positive,1.1813,3/5,2/5,MODERATE,"Shape consistent in 3/5 folds, direction in 2/5 -- majority but not unanimous.",-1.398617,-0.742986
MEASURE_ET_Ran_con_1_OW_CR,monotonic,positive,1.1786,1/5,4/5,MODERATE,"Shape consistent in 1/5 folds, direction in 4/5 -- majority but not unanimous.",67.494066,83.797543
MEASURE_ET_DC_SEC_S_Vboff_Id_plus_Ig_SD3p5,complex_nonmonotonic,n/a,1.1769,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",8.712494,22.339333
BRGM_ET_Probe_Number,monotonic,positive,1.172,0/5,3/5,MODERATE,"Shape consistent in 0/5 folds, direction in 3/5 -- majority but not unanimous.",0.967267,5.167651
MEASURE_ET_DC_SMALL_Vg_optt,threshold,n/a,1.1651,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",67.969731,81.98287
CATHODE_ET_Rsh_cat_c2_OW_ST,threshold,positive,1.1596,3/5,0/5,MODERATE,"Shape consistent in 3/5 folds, direction in 0/5 -- majority but not unanimous.",99.609948,139.084153
TOPSIN_ET_DC_RF_Vp_1,complex_nonmonotonic,n/a,1.1478,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",-1.46836,-0.731391
TOPSIN_ET_DC_RF_Vbgd1,threshold,positive,1.1347,3/5,1/5,MODERATE,"Shape consistent in 3/5 folds, direction in 1/5 -- majority but not unanimous.",19.849627,38.680309
SIN_ET_DC_RF_Vbgd_0p1,threshold,positive,1.1342,3/5,1/5,MODERATE,"Shape consistent in 3/5 folds, direction in 1/5 -- majority but not unanimous.",18.377792,35.336717
MEASURE_ET_DC_RF_S11ang_10GHz,threshold,n/a,1.1328,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",-16.836356,-5.641857
MEASURE_ET_DC_RF_Gm_max,complex_nonmonotonic,n/a,1.1325,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",386.460373,665.235375
TOPSIN_ET_Load_Pull_Id_ord,threshold,n/a,1.1221,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",13.15057,24.597024
MEASURE_ET_DC_RF_Vbon_min,threshold,n/a,1.1194,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",16.514626,26.441148
THIN_Measure3GN_Thickness_after_etchback,threshold,negative,1.1191,4/5,2/5,MODERATE,"Shape consistent in 4/5 folds, direction in 2/5 -- majority but not unanimous.",0.616639,0.73321
TOPSIN_ET_sh_GA144,threshold,negative,1.1139,5/5,1/5,MODERATE,"Shape consistent in 5/5 folds, direction in 1/5 -- majority but not unanimous.",3.662281,14.290995
TFRP_ET_TFRP,threshold,positive,1.1019,5/5,2/5,MODERATE,"Shape consistent in 5/5 folds, direction in 2/5 -- majority but not unanimous.",26.683655,39.041563
MEASURE_ET_DC_SEC_X_Vg_at_I3_neg_FPSD3p2,threshold,positive,1.0848,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",81.299241,96.144296
MEASURE_ET_DC_SEC_S_Vg_at_I3_neg_SD3p5,threshold,negative,1.084,4/5,1/5,MODERATE,"Shape consistent in 4/5 folds, direction in 1/5 -- majority but not unanimous.",49.781463,62.671684
TOPSIN_ET_OHMC_GN,threshold,positive,1.0832,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",83.159883,99.755248
FIC_ET_R_f_hr_3,monotonic,positive,1.0824,0/5,4/5,MODERATE,"Shape consistent in 0/5 folds, direction in 4/5 -- majority but not unanimous.",64.06283,76.79261
GATE2_CD_310nm_Gate_Win_Length,threshold,negative,1.0713,5/5,1/5,MODERATE,"Shape consistent in 5/5 folds, direction in 1/5 -- majority but not unanimous.",0.509219,0.590425
MEASURE_ET_DC_SEC_X_Ig_cut3_mAmm_pos,threshold,n/a,1.0705,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",-3.494795,8.701163
TOPSIN_ET_ABVIETCH,threshold,positive,1.0699,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",91.558656,106.928573
MEASURE_ET_RF_Modeling_L_Gd,monotonic,positive,1.062,0/5,4/5,MODERATE,"Shape consistent in 0/5 folds, direction in 4/5 -- majority but not unanimous.",54.306228,66.517326
TOPSIN_ET_DC_SMALL_Ids_m0p2,threshold,positive,1.0585,4/5,3/5,MODERATE,"Shape consistent in 4/5 folds, direction in 3/5 -- majority but not unanimous.",79.971633,95.611343
MEASURE_ET_RF_Modeling_Stress_time,threshold,positive,1.0569,3/5,2/5,MODERATE,"Shape consistent in 3/5 folds, direction in 2/5 -- majority but not unanimous.",81.621477,96.247602
SIN_GATE_ET_R214,threshold,n/a,1.0555,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",61.694808,74.83207
MEASURE_ET_DC_RD_S21ang_18GHz,threshold,positive,1.051,3/5,2/5,MODERATE,"Shape consistent in 3/5 folds, direction in 2/5 -- majority but not unanimous.",12.012888,17.57448
FIC_ET_DC_RF_Vp_01,complex_nonmonotonic,n/a,1.0481,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",-1.400828,-0.737125
TOPSIN_ET_DC_PIV_Ids1_QP2,threshold,n/a,1.0431,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",91.389761,104.82903
SIN_ET_DC_RF_Id_gm_max,complex_nonmonotonic,n/a,1.0389,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",375.730789,668.841052
MEASURE_ET_DC_SEC_X_Vg_at_I1_neg_FPSD3p2,threshold,positive,1.038,4/5,1/5,MODERATE,"Shape consistent in 4/5 folds, direction in 1/5 -- majority but not unanimous.",79.185995,96.058009
MEASURE_ET_DC_SEC_S_Vp_1_mA_mm,threshold,n/a,1.0351,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",-1.423844,-0.741149
FIC_ET_DC_PIV_Ids1_QP1,threshold,n/a,1.0349,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",70.627716,86.095227
TOPSIN_ET_Cap_USV,monotonic,negative,1.0299,1/5,3/5,MODERATE,"Shape consistent in 1/5 folds, direction in 3/5 -- majority but not unanimous.",0.557081,1.162968
MEASURE_ET_DC_Diode_S21_dB_rev_9p5,threshold,positive,1.0295,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",11.665742,17.108321
MEASURE_ET_Vbkdn_Cap100,threshold,n/a,1.0292,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",0.459511,1.091114
MEASURE_ET_DC_SEC_X_Vg_at_I1_pos,monotonic,positive,1.019,0/5,5/5,MODERATE,"Shape consistent in 0/5 folds, direction in 5/5 -- majority but not unanimous.",36.438519,48.665168
TFRP_ET_TF_AB_3,threshold,positive,0.9999,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous.",78.547225,93.525013
