raw_csv_parameter_name,relationship_class,direction,turning_point_1,turning_point_2,beneficial_range,harmful_range,effect_size_yield_pct,shape_fold_consistency,n_fold_curves_used,linear_cv_rmse,spline_cv_rmse,rmse_improvement_pct,linear_cv_r2,spline_cv_r2,folds_spline_better,nonlinear_advantage,evidence_label,reason,n_train_rows_used
SIN_ET_DC_RF_Idss,COMPLEX_NONLINEAR,n/a,340.936147,380.119322,312.6 to 351.8,356.2 to 391,2.469,5/5,5,2.2526,2.1405,4.975,0.0002,0.0966,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0966).,1200
SIN_ET_DC_PIV_Imax_QP1,COMPLEX_NONLINEAR,n/a,631.051104,710.452713,581.4 to 654.2,660.8 to 733.6,2.4683,5/5,5,2.2547,2.1861,3.043,-0.0024,0.0597,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0597).,1200
MEASURE_ET_DC_PIV_Idss_QP1,COMPLEX_NONLINEAR,n/a,340.187261,383.586693,394.4 to 442.2,338 to 390.1,2.4677,5/5,5,2.2442,2.2102,1.512,0.007,0.0348,4/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0348).,1200
SIN_ET_DC_RF_Vds_max_0p1mA,SATURATION,negative,33.54589,,26.36 to 32.65,32.87 to 35.12,2.466,4/5,5,2.2402,2.2063,1.515,0.0104,0.04,5/5,True,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0400).,1200
MEASURE_ET_DC_RF_Vds_max,THRESHOLD,positive,62.665783,,62.67 to 68.73,59.97 to 62.44,2.4657,5/5,5,2.2281,2.1657,2.801,0.0156,0.0698,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0698).,1200
CATHODE_ET_Rcat_cn_2,THRESHOLD,negative,0.267111,,0.1352 to 0.2337,0.2372 to 0.2689,2.4597,5/5,5,2.2206,2.1254,4.285,0.029,0.1136,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.1136).,1200
THIN_ET_DC_RF_Vp_1,COMPLEX_NONLINEAR,n/a,-1.166934,-0.98344,-1.089 to -0.934,-1.273 to -1.103,2.4566,5/5,5,2.2585,2.1929,2.904,-0.006,0.0515,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0515).,1200
FIC_ET_DC_RF_Gm_m0p2,COMPLEX_NONLINEAR,n/a,485.557213,552.239488,577.2 to 638.4,493.9 to 571.7,2.4556,5/5,5,2.248,2.1625,3.805,0.0041,0.0809,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0809).,1200
MEASURE_ET_DC_SMALL_Vbgd_0p01,U_SHAPED,n/a,25.828914,,30.56 to 36.24,22.61 to 30.18,2.4554,5/5,5,2.2327,2.1702,2.798,0.0187,0.0691,4/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0691).,1200
THIN_ET_sh_f_hr_23,COMPLEX_NONLINEAR,n/a,-0.148487,6.060443,-1.183 to 0.8863,1.116 to 6.175,2.4513,5/5,5,2.2494,2.1879,2.731,0.0026,0.0568,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0568).,1200
MEASURE_ET_Load_Pull_Gain_comp_Last,SATURATION,positive,13.275524,,15.68 to 16.78,14.78 to 15.58,2.4499,5/5,5,2.2459,2.2329,0.58,0.0073,0.019,4/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0190).,1200
THIN_ET_i5021_1,THRESHOLD,positive,62.24275,,63.12 to 68.38,59.83 to 62.9,2.447,5/5,5,2.2026,2.205,-0.111,0.0452,0.0444,3/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0444).,1200
BRIDGE_METAL_Height_Final_TOP_metal_thickness,PROCESS_WINDOW,n/a,2.099233,,2 to 2.129,2.328 to 2.433,2.4459,4/5,5,2.2484,2.226,0.996,0.002,0.0165,4/5,False,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0165).,1200
THIN_ET_DC_RF_Vdg_max_0p1mA,THRESHOLD,positive,55.165769,,52.44 to 54.84,50.47 to 52.22,2.4454,4/5,5,2.2627,2.2208,1.848,-0.0108,0.0223,4/5,True,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0223).,1200
BRGM_ET_KLV_F_AB_4u,COMPLEX_NONLINEAR,n/a,488.958383,551.380051,569.6 to 632,496.8 to 564.4,2.4426,5/5,5,2.2525,2.1685,3.726,-0.0004,0.0701,4/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0701).,1200
THIN_ET_DC_RF_Vbgs1,U_SHAPED,n/a,30.544183,,31.57 to 35.68,21.71 to 31.16,2.4392,5/5,5,2.2499,2.1912,2.61,0.0035,0.0586,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0586).,1200
MEASURE_ET_R_660_VER,COMPLEX_NONLINEAR,n/a,13.767263,15.906221,16.59 to 18.73,14.45 to 16.39,2.4358,5/5,5,2.2408,2.1402,4.488,0.0095,0.0886,4/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0886).,1200
MEASURE_ET_RF_Modeling_Vg_gm_max_W,COMPLEX_NONLINEAR,n/a,510.043783,569.719167,583.3 to 632.1,507.3 to 577.9,2.4342,5/5,5,2.2527,2.176,3.407,-0.0007,0.0587,4/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0587).,1200
MEASURE_ET_DC_RD_S11dB_18GHz,COMPLEX_NONLINEAR,n/a,-13.546737,-10.677359,-15.2 to -12.77,-12.55 to -10.35,2.4269,5/5,5,2.256,2.1793,3.4,-0.0031,0.0634,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0634).,1200
SIN_GATE_ET_RGAN2,THRESHOLD,positive,96.990625,,96.85 to 103.4,92.77 to 96.58,2.4236,5/5,5,2.1784,2.154,1.119,0.0608,0.082,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0820).,1200
SIN_ET_DC_PIV_Idss_QP1,COMPLEX_NONLINEAR,n/a,325.226221,389.455055,387.2 to 451.4,336.7 to 382.6,2.4233,5/5,5,2.2449,2.202,1.909,0.0065,0.0452,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0452).,1200
MEASURE_ET_DC_Stress_Idss_before,COMPLEX_NONLINEAR,n/a,338.086871,387.87191,394.7 to 449,335.8 to 390.1,2.4208,5/5,5,2.2511,2.191,2.668,0.0016,0.0555,4/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0555).,1200
MEASURE_ET_DC_RF_Max_S11_Mag_L2180,SATURATION,positive,12.897199,,14.88 to 16.97,12.68 to 14.77,2.4104,5/5,5,2.2222,2.2158,0.289,0.0267,0.0307,3/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0307).,1200
MEASURE_ET_DC_Stress_Id_gm_max_after,COMPLEX_NONLINEAR,n/a,556.466347,609.382204,565.3 to 630,400.7 to 471.2,2.4093,5/5,5,2.2418,2.1969,2.002,0.0089,0.045,4/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0450).,1200
SIN_GATE_ET_I_5,THRESHOLD,positive,84.140283,,84.14 to 88.05,77.16 to 79.95,2.4046,4/5,5,2.2159,2.2121,0.171,0.0326,0.0355,3/5,False,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0355).,1200
MEASURE_ET_DC_Big_Vg_optt1,THRESHOLD,positive,64.411395,,64.8 to 69.76,59.59 to 64.54,2.4027,4/5,5,2.1635,2.1547,0.404,0.0756,0.085,4/5,False,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0850).,1200
TOPSIN_ET_C175pf_0,THRESHOLD,positive,89.654623,,84.91 to 90.09,78.87 to 84.62,2.3975,5/5,5,2.2071,2.1978,0.423,0.0412,0.0488,3/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0488).,1200
MEASURE_ET_sh_GA144,SATURATION,positive,33.21896,,34.69 to 40.17,31.96 to 34.48,2.3956,4/5,5,2.1953,2.1863,0.412,0.0527,0.0617,3/5,False,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0617).,1200
MEASURE_ET_DC_SEC_n_gs,SATURATION,negative,12.733059,,11.72 to 13.14,13.34 to 17.19,2.392,4/5,5,2.2565,2.2079,2.153,-0.0036,0.0393,5/5,True,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0393).,1200
MEASURE_ET_DC_SEC_S_Vg_at_I3_pos_SD3p5,SATURATION,positive,58.285905,,59.74 to 66.75,57.32 to 59.49,2.3897,5/5,5,2.2498,2.2215,1.256,0.0037,0.0296,4/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0296).,1200
MEASURE_ET_C100CapPARCAP,SATURATION,negative,0.252459,,0.1288 to 0.2445,0.2485 to 0.2844,2.3873,4/5,5,2.2256,2.1587,3.006,0.0249,0.0873,4/5,True,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0873).,1200
MEASURE_ET_DC_SEC_S_Ig_cut2_mAmm_neg_FPSD3p2,COMPLEX_NONLINEAR,n/a,0.544179,1.996517,2.723 to 5.212,5.42 to 7.287,2.3858,5/5,5,2.2518,2.1371,5.093,-0.0006,0.0994,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0994).,1200
THIN_ET_DC_RF_Vg_optt1,COMPLEX_NONLINEAR,n/a,5.702698,11.638863,5.132 to 6.73,6.958 to 11.52,2.383,4/5,5,2.2565,2.2139,1.888,-0.0038,0.0362,4/5,True,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0362).,1200
MEASURE_ET_C100Cap3pf,PROCESS_WINDOW,n/a,0.724363,,0.6448 to 0.9205,0.9311 to 0.9948,2.3828,4/5,5,2.246,2.181,2.896,0.0076,0.0605,4/5,True,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0605).,1200
OHMIC_ET_Ran_con_3,MONOTONIC_POSITIVE,positive,,,83.36 to 90.56,80.53 to 83.1,2.3796,5/5,5,2.2274,2.2011,1.183,0.022,0.045,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0450).,1200
MEASURE_ET_Rcat_cn_1_OW_ST,PROCESS_WINDOW,n/a,0.201177,,0.1591 to 0.2176,0.2542 to 0.2798,2.3762,4/5,5,2.238,2.2177,0.908,0.0118,0.0291,4/5,False,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0291).,1200
MEASURE_ET_DC_SEC_S_Id_at_Vboff_mA_mm_SD3p5,COMPLEX_NONLINEAR,n/a,28.008863,30.775175,28.33 to 30.67,30.88 to 33.22,2.3758,4/5,5,2.2512,2.2147,1.62,-0.0001,0.0317,5/5,True,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0317).,1200
MEASURE_ET_DC_Stress_Id_gm_max_before,COMPLEX_NONLINEAR,n/a,476.149223,547.247131,568 to 639.1,485 to 562.1,2.375,5/5,5,2.2479,2.2022,2.034,0.004,0.0458,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0458).,1200
MEASURE_ET_DC_RF_Id_gm_max,COMPLEX_NONLINEAR,n/a,513.411824,562.015345,570.1 to 629.5,510.7 to 564.7,2.3723,5/5,5,2.2463,2.1997,2.073,0.0051,0.0407,4/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0407).,1200
MEASURE_ET_DC_SEC_Vgs_back_0p5V,COMPLEX_NONLINEAR,n/a,1.934927,3.451197,1.008 to 2.525,-0.6764 to 0.8398,2.37,5/5,5,2.2711,2.1668,4.59,-0.0209,0.0724,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0724).,1200
TOPSIN_ET_Cap2pf,U_SHAPED,n/a,0.671924,,0.7032 to 0.9157,0.9282 to 1.041,2.3673,4/5,5,2.2561,2.1877,3.034,-0.002,0.0612,5/5,True,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0612).,1200
BRGM_ET_C300,COMPLEX_NONLINEAR,n/a,551.30407,607.609214,569.2 to 620.4,512.9 to 564.1,2.3654,5/5,5,2.2299,2.1627,3.012,0.0194,0.0756,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0756).,1200
MEASURE_ET_DC_RF_Vbin_gd,SATURATION,positive,22.653903,,24.25 to 34.53,20.7 to 23.89,2.3653,4/5,5,2.2211,2.2227,-0.069,0.0276,0.0217,2/5,False,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0217).,1200
MEASURE_ET_DC_RF_S21dB_26GHz,PROCESS_WINDOW,n/a,15.024158,,14.09 to 17.17,12.88 to 13.98,2.3636,5/5,5,2.2313,2.199,1.45,0.0205,0.0482,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0482).,1200
MEASURE_ET_LT_SEC_Vd_Id_min_Vd7,COMPLEX_NONLINEAR,n/a,10.717725,12.94985,11.55 to 13.41,6.16 to 11.37,2.3609,5/5,5,2.2403,2.1623,3.482,0.0117,0.078,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0780).,1200
THIN_ET_DC_RF_Idss,COMPLEX_NONLINEAR,n/a,339.085807,386.551417,397.3 to 444.8,345.6 to 393,2.3592,4/5,5,2.2487,2.2101,1.719,0.0032,0.0356,5/5,True,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0356).,1200
MEASURE_ET_DC_SMALL_Vg_max_Vd,COMPLEX_NONLINEAR,n/a,10.15121,11.611804,11.92 to 14.43,6.291 to 8.169,2.3559,5/5,5,2.2241,2.1871,1.665,0.0251,0.0561,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0561).,1200
MEASURE_ET_R214,THRESHOLD,positive,8.889365,,4.693 to 6.219,6.41 to 11.75,2.3527,4/5,5,2.2708,2.225,2.015,-0.0184,0.024,5/5,True,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0240).,1200
TOPSIN_ET_DC_RF_Idss,COMPLEX_NONLINEAR,n/a,340.162007,383.053366,395 to 461.7,337.8 to 390.2,2.3512,4/5,5,2.2478,2.2302,0.785,0.0045,0.0228,3/5,False,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0228).,1200
MEASURE_ET_DC_SEC_Id_gm_max,U_SHAPED,n/a,559.310289,,572.4 to 624.9,493.7 to 567.2,2.3479,4/5,5,2.2368,2.1747,2.776,0.013,0.0678,5/5,True,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0678).,1200
MEASURE_ET_Vbkdn_CapBig,COMPLEX_NONLINEAR,n/a,0.613019,0.733477,0.7718 to 0.8704,0.8813 to 1.002,2.341,4/5,5,2.2581,2.1942,2.827,-0.0036,0.042,2/5,False,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0420).,1200
TOPSIN_ET_Probe_Number,COMPLEX_NONLINEAR,n/a,2.912275,3.956009,2.964 to 3.904,1.816 to 2.86,2.3384,4/5,5,2.2554,2.2405,0.657,-0.0026,0.0089,4/5,False,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0089).,1200
TOPSIN_ET_DC_SMALL_Vbgd1,THRESHOLD,positive,28.25818,,28.26 to 35.32,21.55 to 27.91,2.3344,5/5,5,2.1935,2.1856,0.357,0.0509,0.0593,4/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0593).,1200
BRGM_ET_C100,COMPLEX_NONLINEAR,n/a,472.3397,590.699763,441.3 to 492.1,497.7 to 582.2,2.3333,4/5,5,2.254,2.2191,1.548,-0.0018,0.0296,5/5,True,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0296).,1200
TOPSIN_ET_DC_SMALL_Idss,COMPLEX_NONLINEAR,n/a,335.290396,378.508153,389.3 to 441.2,341.8 to 385,2.333,5/5,5,2.2518,2.1835,3.033,0.0006,0.0608,4/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0608).,1200
MEASURE_ET_DC_SMALL_Gm_0,THRESHOLD,positive,577.527393,,572.5 to 622.6,427.4 to 567.5,2.3308,4/5,5,2.2371,2.2071,1.344,0.012,0.0375,4/5,True,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0375).,1200
MEASURE_ET_RF_Modeling_Tau,THRESHOLD,negative,12.390346,,7.401 to 12.67,12.86 to 14.74,2.3305,5/5,5,2.2561,2.1927,2.809,-0.0049,0.0501,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0501).,1200
TOPSIN_ET_RGAN1,U_SHAPED,n/a,35.898614,,32.13 to 33.64,33.85 to 39.02,2.3261,4/5,5,2.2577,2.209,2.161,-0.0049,0.038,5/5,True,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0380).,1200
MEASURE_ET_DC_RF_S11dB_10GHz,INVERTED_U,n/a,-13.947796,,-15.2 to -12.69,-12.47 to -8.366,2.3155,4/5,5,2.257,2.1672,3.982,-0.0033,0.0713,5/5,True,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0713).,1200
SIN_ET_DC_RF_Vbin_gd,COMPLEX_NONLINEAR,n/a,25.086652,30.652232,26.76 to 32.69,21.93 to 26.39,2.3118,5/5,5,2.2135,2.1344,3.574,0.0334,0.1021,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.1021).,1200
BRGM_ET_Rsh_F_AB_2,COMPLEX_NONLINEAR,n/a,512.663526,571.618186,580.5 to 651.2,503.8 to 574.6,2.3044,4/5,5,2.2454,2.2048,1.809,0.0064,0.0444,4/5,True,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0444).,1200
THIN_ET_TF_AB_3,THRESHOLD,positive,73.194136,,68.24 to 73.86,63.42 to 67.97,2.2991,5/5,5,2.2263,2.2016,1.108,0.0184,0.0379,4/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0379).,1200
MEASURE_ET_DC_SEC_S_Vg_at_I2_neg_FPSD3p2,SATURATION,positive,53.68222,,59.68 to 62.38,52.83 to 55.27,2.2989,5/5,5,2.2382,2.2374,0.037,0.0127,0.0104,3/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0104).,1200
MEASURE_ET_DC_PIV_Imax_QP1,COMPLEX_NONLINEAR,n/a,652.672528,723.13866,585.7 to 663.2,670.3 to 740.8,2.2984,5/5,5,2.2556,2.1933,2.76,-0.003,0.0521,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0521).,1200
TOPSIN_ET_RGAN2,THRESHOLD,negative,17.662522,,10.94 to 14.66,14.87 to 17.97,2.2957,5/5,5,2.2404,2.1883,2.325,0.009,0.0515,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0515).,1200
MEASURE_ET_DC_RF2_S12dB_26GHz,THRESHOLD,negative,-20.769442,,-29.8 to -28.41,-24.24 to -20.35,2.2941,4/5,5,2.2417,2.2002,1.85,0.0092,0.0439,5/5,True,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0439).,1200
FIC_ET_TR_1F,U_SHAPED,n/a,54.470675,,58.79 to 60.66,52.72 to 58.56,2.2936,5/5,5,2.2294,2.175,2.441,0.021,0.0659,4/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0659).,1200
EBCR2_ET_Ids_EBCR_recess_current,THRESHOLD,positive,51.568963,,52.64 to 56.92,48.57 to 52.43,2.2901,4/5,5,2.1843,2.179,0.243,0.0571,0.0617,3/5,False,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0617).,1200
SIN_ET_DC_RF_n_gs,COMPLEX_NONLINEAR,n/a,18.38021,20.492541,21.44 to 23.98,19.12 to 21.23,2.2885,5/5,5,2.2544,2.2191,1.566,-0.0025,0.0302,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0302).,1200
MEASURE_ET_DC_SEC_S_Id_plus_Ig_at_Vboff_mA_mm_FPSD3p2,THRESHOLD,positive,76.423681,,76.82 to 83.72,73.37 to 76.56,2.2883,5/5,5,2.2121,2.2102,0.089,0.034,0.03,3/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0300).,1200
FIN_Etch_Soft_Bias,THRESHOLD,negative,85.493746,,71.04 to 75.76,76.35 to 84.02,2.2864,5/5,5,2.2624,2.2374,1.104,-0.0093,0.0098,3/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0098).,1200
MEASURE_ET_DC_RF_n_gd,THRESHOLD,positive,47.878832,,42.48 to 48.24,40.08 to 42.24,2.2855,4/5,5,2.2493,2.1739,3.355,0.0029,0.0685,5/5,True,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0685).,1200
CATHODE_ET_Rc_cat_ct2_OW_ST,SATURATION,negative,0.149097,,0.1441 to 0.2137,0.217 to 0.2733,2.2854,5/5,5,2.2085,2.2051,0.153,0.0367,0.04,3/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0400).,1200
MEASURE_ET_CapUSV_0,THRESHOLD,positive,0.720153,,0.7542 to 0.9246,0.5952 to 0.7429,2.2839,5/5,5,2.2597,2.1898,3.094,-0.0063,0.0555,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0555).,1200
MEASURE_ET_DC_Stress_Id_max_Ig_after,COMPLEX_NONLINEAR,n/a,0.395213,1.967264,2.852 to 5.603,0.4935 to 2.655,2.2827,5/5,5,2.2394,2.1685,3.168,0.012,0.0723,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0723).,1200
MEASURE_ET_DC_RF_Min_S21_Ph_L1018,U_SHAPED,n/a,14.169186,,16.03 to 17.14,13.41 to 15.93,2.2815,4/5,5,2.2305,2.2042,1.178,0.0201,0.0436,5/5,True,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0436).,1200
MEASURE_ET_RF_Modeling_S22ang_10GHz,SATURATION,positive,-9.352872,,-15.67 to -14.5,-14.31 to -9.644,2.2796,4/5,5,2.2558,2.2006,2.446,-0.003,0.0476,5/5,True,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0476).,1200
MEASURE_ET_DC_SMALL_Vbgd1,U_SHAPED,n/a,29.845019,,31.18 to 34.61,26.6 to 30.8,2.2756,5/5,5,2.2494,2.2061,1.926,0.0033,0.0438,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0438).,1200
MEASURE_ET_DC_SEC_S_Ig_mAmm_at_Vg_cond_neg,MONOTONIC_POSITIVE,positive,,,95.38 to 101.7,91 to 95.11,2.2721,5/5,5,2.1795,2.1648,0.677,0.0636,0.0764,5/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0764).,1200
TOPSIN_ET_DC_RF_Gm_max,COMPLEX_NONLINEAR,n/a,492.863455,568.650341,443.3 to 507.4,513.3 to 583.2,2.2705,5/5,5,2.2556,2.159,4.285,-0.003,0.0794,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0794).,1200
MEASURE_ET_RF_Modeling_Fmax_ext,U_SHAPED,n/a,29.900073,,30.64 to 32.95,28.11 to 30.43,2.2662,5/5,5,2.2585,2.2128,2.022,-0.0072,0.0307,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0307).,1200
THIN_ET_Ran_con_2_OW_CR,SATURATION,positive,43.201696,,40.07 to 44.89,35.5 to 39.83,2.264,5/5,5,2.2202,2.2102,0.453,0.0272,0.0357,4/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0357).,1200
MEASURE_ET_RF_Modeling_Cgd_err,THRESHOLD,positive,97.272131,,97.27 to 104.5,92.23 to 96.96,2.2625,5/5,5,2.1642,2.1309,1.538,0.0732,0.1012,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.1012).,1200
MEASURE_ET_DC_RF_Gm_m0p2,COMPLEX_NONLINEAR,n/a,504.966218,566.744827,574.5 to 631.1,502.4 to 569.3,2.26,4/5,5,2.2459,2.1948,2.274,0.0065,0.0474,5/5,True,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0474).,1200
BRGM_ET_Rc_F_AB_2,COMPLEX_NONLINEAR,n/a,496.466609,550.889134,444.8 to 515.5,521 to 564.5,2.2562,5/5,5,2.2574,2.1906,2.959,-0.0038,0.0557,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0557).,1200
TFRP_ET_TF_AB_2,THRESHOLD,positive,82.221454,,82.35 to 88.36,78.17 to 82.09,2.2547,5/5,5,2.2067,2.1692,1.698,0.035,0.0666,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0666).,1200
SIN_ET_DC_RF_Vt_gd,COMPLEX_NONLINEAR,n/a,4.502227,5.809596,4.611 to 6.354,1.779 to 4.393,2.2541,5/5,5,2.2595,2.1731,3.823,-0.0063,0.0683,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0683).,1200
MEASURE_ET_DC_SEC_X_Vboff_Id_plus_Ig_FPSD3p2,PROCESS_WINDOW,n/a,54.528958,,52.34 to 55.57,55.8 to 58.11,2.2494,5/5,5,2.2442,2.2044,1.771,0.0092,0.0454,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0454).,1200
THIN_ET_DC_RF_Imax,COMPLEX_NONLINEAR,n/a,647.709802,722.967591,582.7 to 658,664.8 to 740.1,2.2437,5/5,5,2.2561,2.1695,3.838,-0.0034,0.0706,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0706).,1200
MEASURE_ET_Rc_cat_ct2,PROCESS_WINDOW,n/a,0.234416,,0.1327 to 0.1844,0.243 to 0.2672,2.2381,5/5,5,2.2443,2.1791,2.909,0.0037,0.0609,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0609).,1200
SIN_ET_DC_PIV_Imax_QP2,COMPLEX_NONLINEAR,n/a,675.103218,722.673539,739.7 to 807.6,644.5 to 732.9,2.2358,5/5,5,2.256,2.2021,2.389,-0.004,0.0424,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0424).,1200
