parameter_A,parameter_B,parameter_C,channels,lower_order_cv_rmse,full_3way_cv_rmse,incremental_rmse_improvement_pct,lower_order_cv_r2,full_3way_cv_r2,incremental_r2,fold_reproducibility,high_yield_joint_condition,low_yield_joint_condition,evidence_label,reason
MEASURE_ET_lkg_50,MEASURE_ET_lkg_C300,THIN_ET_TF_AB_2,a_chaining_confirmed_pairs,2.1602,2.123,1.726,0.0784,0.1099,0.0315,5/5,"MEASURE_ET_lkg_50=high, MEASURE_ET_lkg_C300=low, THIN_ET_TF_AB_2=high","MEASURE_ET_lkg_50=high, MEASURE_ET_lkg_C300=high, THIN_ET_TF_AB_2=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0315."
FIC_ET_Rc_f_tn_23,MEASURE_ET_lkg_10,THIN_ET_lkg_100_at20V,a_chaining_confirmed_pairs,2.0828,2.0449,1.821,0.1435,0.1753,0.0317,5/5,"FIC_ET_Rc_f_tn_23=high, MEASURE_ET_lkg_10=high, THIN_ET_lkg_100_at20V=low","FIC_ET_Rc_f_tn_23=high, MEASURE_ET_lkg_10=high, THIN_ET_lkg_100_at20V=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0317."
MEASURE_ET_ABVIETCH,MEASURE_ET_DC_RF2_S22dB_26GHz,MEASURE_ET_lkg_50_at20V,b_tree_path_cooccurrence,2.1311,2.1136,0.82,0.1042,0.1189,0.0147,5/5,"MEASURE_ET_ABVIETCH=high, MEASURE_ET_DC_RF2_S22dB_26GHz=low, MEASURE_ET_lkg_50_at20V=low","MEASURE_ET_ABVIETCH=low, MEASURE_ET_DC_RF2_S22dB_26GHz=high, MEASURE_ET_lkg_50_at20V=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0147."
MEASURE_ET_C100C300pf,MEASURE_ET_C300pf,TOPSIN_ET_lkg_CapFICM1,a_chaining_confirmed_pairs,2.0982,2.0778,0.971,0.1311,0.1496,0.0186,5/5,"MEASURE_ET_C100C300pf=low, MEASURE_ET_C300pf=low, TOPSIN_ET_lkg_CapFICM1=low","MEASURE_ET_C100C300pf=high, MEASURE_ET_C300pf=low, TOPSIN_ET_lkg_CapFICM1=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0186."
MEASURE_ET_C100C300pf,TOPSIN_ET_C100CapUSV,TOPSIN_ET_lkg_CapFICM1,a_chaining_confirmed_pairs,2.0966,2.0707,1.239,0.1293,0.153,0.0237,5/5,"MEASURE_ET_C100C300pf=low, TOPSIN_ET_C100CapUSV=high, TOPSIN_ET_lkg_CapFICM1=high","MEASURE_ET_C100C300pf=high, TOPSIN_ET_C100CapUSV=low, TOPSIN_ET_lkg_CapFICM1=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0237."
MEASURE_ET_C100C300pf,TOPSIN_ET_C300,TOPSIN_ET_lkg_CapFICM1,a_chaining_confirmed_pairs,2.0978,2.081,0.803,0.1308,0.1449,0.0141,5/5,"MEASURE_ET_C100C300pf=low, TOPSIN_ET_C300=high, TOPSIN_ET_lkg_CapFICM1=high","MEASURE_ET_C100C300pf=high, TOPSIN_ET_C300=high, TOPSIN_ET_lkg_CapFICM1=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0141."
MEASURE_ET_Rc_an_ct2,MEASURE_ET_lkg_10,THIN_ET_lkg_100_at20V,a_chaining_confirmed_pairs,2.0942,2.0572,1.766,0.1334,0.1639,0.0306,5/5,"MEASURE_ET_Rc_an_ct2=low, MEASURE_ET_lkg_10=low, THIN_ET_lkg_100_at20V=low","MEASURE_ET_Rc_an_ct2=high, MEASURE_ET_lkg_10=high, THIN_ET_lkg_100_at20V=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0306."
MEASURE_ET_Rc_an_ct2,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_SY8_80,a_chaining_confirmed_pairs,2.0885,2.0565,1.53,0.1378,0.164,0.0261,5/5,"MEASURE_ET_Rc_an_ct2=high, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_lkg_SY8_80=high","MEASURE_ET_Rc_an_ct2=high, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_SY8_80=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0261."
MEASURE_ET_Rcat_cn_2,MEASURE_ET_lkg_10,THIN_ET_lkg_100_at20V,a_chaining_confirmed_pairs,2.123,2.0997,1.097,0.113,0.1317,0.0187,5/5,"MEASURE_ET_Rcat_cn_2=high, MEASURE_ET_lkg_10=high, THIN_ET_lkg_100_at20V=low","MEASURE_ET_Rcat_cn_2=high, MEASURE_ET_lkg_10=high, THIN_ET_lkg_100_at20V=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0187."
MEASURE_ET_Rcat_cn_3,MEASURE_ET_lkg_10,THIN_ET_lkg_100_at20V,a_chaining_confirmed_pairs,2.1083,2.0714,1.746,0.1241,0.1546,0.0305,5/5,"MEASURE_ET_Rcat_cn_3=high, MEASURE_ET_lkg_10=high, THIN_ET_lkg_100_at20V=low","MEASURE_ET_Rcat_cn_3=high, MEASURE_ET_lkg_10=high, THIN_ET_lkg_100_at20V=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0305."
MEASURE_ET_lkg_10,MEASURE_ET_lkg_Cap_USV,THIN_ET_lkg_100_at20V,a_chaining_confirmed_pairs,2.1757,2.1281,2.189,0.0667,0.1055,0.0389,5/5,"MEASURE_ET_lkg_10=high, MEASURE_ET_lkg_Cap_USV=low, THIN_ET_lkg_100_at20V=low","MEASURE_ET_lkg_10=high, MEASURE_ET_lkg_Cap_USV=high, THIN_ET_lkg_100_at20V=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0389."
MEASURE_ET_lkg_10,OHMIC_ET_Rc_an_ct2,THIN_ET_lkg_100_at20V,a_chaining_confirmed_pairs,2.1115,2.0833,1.339,0.1178,0.1411,0.0233,5/5,"MEASURE_ET_lkg_10=high, OHMIC_ET_Rc_an_ct2=high, THIN_ET_lkg_100_at20V=low","MEASURE_ET_lkg_10=high, OHMIC_ET_Rc_an_ct2=high, THIN_ET_lkg_100_at20V=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0233."
MEASURE_ET_lkg_10,SIN_GATE_ET_Rc_an_ct2,THIN_ET_lkg_100_at20V,a_chaining_confirmed_pairs,2.0956,2.0622,1.593,0.1386,0.1653,0.0266,5/5,"MEASURE_ET_lkg_10=high, SIN_GATE_ET_Rc_an_ct2=high, THIN_ET_lkg_100_at20V=low","MEASURE_ET_lkg_10=high, SIN_GATE_ET_Rc_an_ct2=high, THIN_ET_lkg_100_at20V=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0266."
MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,MEASURE_ET_lkg_C300,THIN_ET_TF_AB_2,a_chaining_confirmed_pairs,2.1855,2.1306,2.512,0.0571,0.1043,0.0471,5/5,"MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm=high, MEASURE_ET_lkg_C300=low, THIN_ET_TF_AB_2=high","MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm=high, MEASURE_ET_lkg_C300=low, THIN_ET_TF_AB_2=low",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0471."
MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,THIN_ET_TF_AB_2,TOPSIN_ET_lkg_SY07_10,a_chaining_confirmed_pairs,2.1482,2.1361,0.565,0.0868,0.0979,0.0111,5/5,"MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm=high, THIN_ET_TF_AB_2=high, TOPSIN_ET_lkg_SY07_10=low","MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm=high, THIN_ET_TF_AB_2=high, TOPSIN_ET_lkg_SY07_10=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0111."
MEASURE_ET_Rc_OG142_GN,MEASURE_ET_lkg_10,THIN_ET_lkg_100_at20V,a_chaining_confirmed_pairs,2.1045,2.0897,0.701,0.1256,0.138,0.0124,5/5,"MEASURE_ET_Rc_OG142_GN=low, MEASURE_ET_lkg_10=high, THIN_ET_lkg_100_at20V=low","MEASURE_ET_Rc_OG142_GN=high, MEASURE_ET_lkg_10=high, THIN_ET_lkg_100_at20V=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0124."
MEASURE_ET_C100CapPARCAP,MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,THIN_ET_lkg_100_at20V,a_chaining_confirmed_pairs,2.1031,2.0861,0.807,0.1251,0.1402,0.0151,5/5,"MEASURE_ET_C100CapPARCAP=high, MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=high, THIN_ET_lkg_100_at20V=low","MEASURE_ET_C100CapPARCAP=high, MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=high, THIN_ET_lkg_100_at20V=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0151."
MEASURE_ET_C100CapPARCAP,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_SY8_80,a_chaining_confirmed_pairs,2.1179,2.1022,0.739,0.1143,0.1284,0.0141,5/5,"MEASURE_ET_C100CapPARCAP=low, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_lkg_SY8_80=low","MEASURE_ET_C100CapPARCAP=high, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_SY8_80=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0141."
MEASURE_ET_C100USV_Cappf,MEASURE_ET_lkg_5,TOPSIN_ET_lkg_CapFICM1,c_residual_conditional_structure,2.1333,2.0838,2.319,0.1016,0.1434,0.0418,5/5,"MEASURE_ET_C100USV_Cappf=low, MEASURE_ET_lkg_5=high, TOPSIN_ET_lkg_CapFICM1=low","MEASURE_ET_C100USV_Cappf=low, MEASURE_ET_lkg_5=high, TOPSIN_ET_lkg_CapFICM1=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0418."
MEASURE_ET_C100USV_Cappf,MEASURE_ET_lkg_C300FM1,TOPSIN_ET_lkg_CapFICM1,c_residual_conditional_structure,2.123,2.0781,2.114,0.1112,0.1499,0.0387,5/5,"MEASURE_ET_C100USV_Cappf=low, MEASURE_ET_lkg_C300FM1=high, TOPSIN_ET_lkg_CapFICM1=low","MEASURE_ET_C100USV_Cappf=low, MEASURE_ET_lkg_C300FM1=high, TOPSIN_ET_lkg_CapFICM1=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0387."
MEASURE_ET_C100USV_Cappf,MEASURE_ET_lkg_C385pf,TOPSIN_ET_lkg_CapFICM1,c_residual_conditional_structure,2.1421,2.1043,1.765,0.0928,0.1273,0.0345,5/5,"MEASURE_ET_C100USV_Cappf=low, MEASURE_ET_lkg_C385pf=high, TOPSIN_ET_lkg_CapFICM1=low","MEASURE_ET_C100USV_Cappf=low, MEASURE_ET_lkg_C385pf=high, TOPSIN_ET_lkg_CapFICM1=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0345."
MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,SIN_GATE_ET_Rc_an_ct2,THIN_ET_lkg_100_at20V,a_chaining_confirmed_pairs,2.0777,2.0633,0.694,0.1516,0.1629,0.0113,5/5,"MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=high, SIN_GATE_ET_Rc_an_ct2=low, THIN_ET_lkg_100_at20V=low","MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=high, SIN_GATE_ET_Rc_an_ct2=high, THIN_ET_lkg_100_at20V=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0113."
MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,TFRP_ET_Rc_TF_AB_2,THIN_ET_lkg_100_at20V,a_chaining_confirmed_pairs,2.1312,2.0976,1.574,0.1013,0.1293,0.028,5/5,"MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=low, TFRP_ET_Rc_TF_AB_2=high, THIN_ET_lkg_100_at20V=high","MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=high, TFRP_ET_Rc_TF_AB_2=high, THIN_ET_lkg_100_at20V=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0280."
MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,THIN_ET_Rcat_cn_1,THIN_ET_lkg_100_at20V,a_chaining_confirmed_pairs,2.116,2.0686,2.24,0.1163,0.1564,0.0401,5/5,"MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=high, THIN_ET_Rcat_cn_1=high, THIN_ET_lkg_100_at20V=low","MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=high, THIN_ET_Rcat_cn_1=high, THIN_ET_lkg_100_at20V=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0401."
MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,THIN_ET_lkg_100_at20V,TOPSIN_ET_CapFICM1,a_chaining_confirmed_pairs,2.1259,2.0954,1.437,0.1067,0.1337,0.0271,5/5,"MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=high, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_CapFICM1=low","MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=high, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_CapFICM1=low",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0271."
MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_Cap3,a_chaining_confirmed_pairs,2.1692,2.1107,2.698,0.0701,0.1196,0.0495,5/5,"MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=low, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_lkg_Cap3=high","MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=high, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_Cap3=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0495."
MEASURE_ET_DC_Stress_Id_stress_before,MEASURE_ET_RF_Modeling_S21_25G_Before,MEASURE_ET_lkg_50_at20V,b_tree_path_cooccurrence,2.1227,2.1034,0.908,0.1136,0.1298,0.0162,5/5,"MEASURE_ET_DC_Stress_Id_stress_before=high, MEASURE_ET_RF_Modeling_S21_25G_Before=high, MEASURE_ET_lkg_50_at20V=low","MEASURE_ET_DC_Stress_Id_stress_before=high, MEASURE_ET_RF_Modeling_S21_25G_Before=low, MEASURE_ET_lkg_50_at20V=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0162."
MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,MEASURE_ET_lkg_10,THIN_ET_lkg_100_at20V,a_chaining_confirmed_pairs,2.1757,2.1193,2.589,0.0671,0.1125,0.0454,5/5,"MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=high, MEASURE_ET_lkg_10=high, THIN_ET_lkg_100_at20V=low","MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=high, MEASURE_ET_lkg_10=high, THIN_ET_lkg_100_at20V=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0454."
MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,MEASURE_ET_lkg_Cap_USV,THIN_ET_lkg_100_at20V,a_chaining_confirmed_pairs,2.1692,2.1226,2.148,0.0719,0.1093,0.0374,5/5,"MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=high, MEASURE_ET_lkg_Cap_USV=high, THIN_ET_lkg_100_at20V=low","MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=high, MEASURE_ET_lkg_Cap_USV=high, THIN_ET_lkg_100_at20V=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0374."
MEASURE_ET_DC_SEC_Vp_1mA,MEASURE_ET_lkg_100_at20V,THIN_ET_lkg_5,a_chaining_confirmed_pairs,2.1439,2.1161,1.299,0.0904,0.1143,0.0239,5/5,"MEASURE_ET_DC_SEC_Vp_1mA=high, MEASURE_ET_lkg_100_at20V=high, THIN_ET_lkg_5=low","MEASURE_ET_DC_SEC_Vp_1mA=low, MEASURE_ET_lkg_100_at20V=high, THIN_ET_lkg_5=low",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0239."
MEASURE_ET_DC_SEC_Vp_1mA,MEASURE_ET_lkg_CapFICM1,THIN_ET_lkg_5,a_chaining_confirmed_pairs,2.1423,2.1128,1.378,0.0884,0.1156,0.0272,5/5,"MEASURE_ET_DC_SEC_Vp_1mA=high, MEASURE_ET_lkg_CapFICM1=low, THIN_ET_lkg_5=high","MEASURE_ET_DC_SEC_Vp_1mA=high, MEASURE_ET_lkg_CapFICM1=high, THIN_ET_lkg_5=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0272."
MEASURE_ET_DC_SEC_Vp_1mA,THIN_ET_lkg_5,THIN_ET_lkg_C200,a_chaining_confirmed_pairs,2.1632,2.1307,1.503,0.0731,0.1022,0.0291,5/5,"MEASURE_ET_DC_SEC_Vp_1mA=high, THIN_ET_lkg_5=high, THIN_ET_lkg_C200=low","MEASURE_ET_DC_SEC_Vp_1mA=high, THIN_ET_lkg_5=high, THIN_ET_lkg_C200=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0291."
MEASURE_ET_DC_SEC_Vp_1mA,THIN_ET_lkg_5,THIN_ET_lkg_PAD_10,a_chaining_confirmed_pairs,2.131,2.1154,0.735,0.1016,0.1153,0.0137,5/5,"MEASURE_ET_DC_SEC_Vp_1mA=high, THIN_ET_lkg_5=high, THIN_ET_lkg_PAD_10=low","MEASURE_ET_DC_SEC_Vp_1mA=high, THIN_ET_lkg_5=high, THIN_ET_lkg_PAD_10=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0137."
MEASURE_ET_DC_SEC_Vp_1mA,THIN_ET_lkg_5,TOPSIN_ET_lkg_Cap_USV,a_chaining_confirmed_pairs,2.1384,2.1156,1.067,0.0977,0.1177,0.02,5/5,"MEASURE_ET_DC_SEC_Vp_1mA=high, THIN_ET_lkg_5=low, TOPSIN_ET_lkg_Cap_USV=high","MEASURE_ET_DC_SEC_Vp_1mA=low, THIN_ET_lkg_5=low, TOPSIN_ET_lkg_Cap_USV=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0200."
MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos_FPSD3p2,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_Cap3,c_residual_conditional_structure,2.0213,1.9427,3.89,0.1855,0.2527,0.0672,5/5,"MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos_FPSD3p2=high, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_lkg_Cap3=high","MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos_FPSD3p2=low, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_Cap3=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0672."
MEASURE_ET_C300FB_0,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_Cap3,a_chaining_confirmed_pairs,2.0869,2.0315,2.653,0.138,0.1836,0.0456,5/5,"MEASURE_ET_C300FB_0=low, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_Cap3=low","MEASURE_ET_C300FB_0=low, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_Cap3=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0456."
MEASURE_ET_C300pf,MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,THIN_ET_lkg_100_at20V,a_chaining_confirmed_pairs,2.1279,2.0685,2.793,0.1036,0.1553,0.0517,5/5,"MEASURE_ET_C300pf=low, MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=high, THIN_ET_lkg_100_at20V=low","MEASURE_ET_C300pf=low, MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=high, THIN_ET_lkg_100_at20V=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0517."
MEASURE_ET_C300pf,MEASURE_ET_lkg_10,THIN_ET_lkg_100_at20V,a_chaining_confirmed_pairs,2.144,2.0894,2.544,0.0928,0.1403,0.0475,5/5,"MEASURE_ET_C300pf=low, MEASURE_ET_lkg_10=high, THIN_ET_lkg_100_at20V=low","MEASURE_ET_C300pf=low, MEASURE_ET_lkg_10=high, THIN_ET_lkg_100_at20V=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0475."
MEASURE_ET_C300pf,MEASURE_ET_lkg_C385pf,TOPSIN_ET_lkg_CapFICM1,c_residual_conditional_structure,2.1501,2.0877,2.902,0.0842,0.1385,0.0543,5/5,"MEASURE_ET_C300pf=low, MEASURE_ET_lkg_C385pf=high, TOPSIN_ET_lkg_CapFICM1=low","MEASURE_ET_C300pf=low, MEASURE_ET_lkg_C385pf=high, TOPSIN_ET_lkg_CapFICM1=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0543."
MEASURE_ET_C300pf,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_Cap3,a_chaining_confirmed_pairs,2.092,2.0455,2.223,0.1328,0.1714,0.0385,5/5,"MEASURE_ET_C300pf=low, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_lkg_Cap3=high","MEASURE_ET_C300pf=low, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_Cap3=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0385."
MEASURE_ET_C300pf,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_CapFICM1,a_chaining_confirmed_pairs,2.1232,2.0394,3.945,0.1065,0.1765,0.07,5/5,"MEASURE_ET_C300pf=low, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_CapFICM1=low","MEASURE_ET_C300pf=low, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_CapFICM1=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0700."
MEASURE_ET_C300pf,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_SY8_80,a_chaining_confirmed_pairs,2.1206,2.0906,1.412,0.1131,0.1395,0.0264,5/5,"MEASURE_ET_C300pf=high, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_lkg_SY8_80=high","MEASURE_ET_C300pf=low, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_SY8_80=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0264."
MEASURE_ET_C300pf,TOPSIN_ET_C300,TOPSIN_ET_lkg_CapFICM1,a_chaining_confirmed_pairs,2.1422,2.1025,1.851,0.0921,0.1271,0.035,5/5,"MEASURE_ET_C300pf=low, TOPSIN_ET_C300=high, TOPSIN_ET_lkg_CapFICM1=low","MEASURE_ET_C300pf=low, TOPSIN_ET_C300=high, TOPSIN_ET_lkg_CapFICM1=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0350."
MEASURE_ET_DC_RF2_S22dB_26GHz,MEASURE_ET_lkg_10,THIN_ET_lkg_100_at20V,a_chaining_confirmed_pairs,2.1561,2.1353,0.966,0.0822,0.1009,0.0187,5/5,"MEASURE_ET_DC_RF2_S22dB_26GHz=low, MEASURE_ET_lkg_10=high, THIN_ET_lkg_100_at20V=low","MEASURE_ET_DC_RF2_S22dB_26GHz=low, MEASURE_ET_lkg_10=high, THIN_ET_lkg_100_at20V=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0187."
MEASURE_ET_DC_RF2_S22dB_26GHz,THIN_ET_Rc_OG142,TOPSIN_ET_DC_SMALL_Vdg_max,b_tree_path_cooccurrence,2.0866,2.067,0.94,0.1293,0.1444,0.0151,5/5,"MEASURE_ET_DC_RF2_S22dB_26GHz=high, THIN_ET_Rc_OG142=low, TOPSIN_ET_DC_SMALL_Vdg_max=low","MEASURE_ET_DC_RF2_S22dB_26GHz=low, THIN_ET_Rc_OG142=high, TOPSIN_ET_DC_SMALL_Vdg_max=low",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0151."
MEASURE_ET_DC_RF2_S22dB_26GHz,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_SY8_80,a_chaining_confirmed_pairs,2.1496,2.1281,1.002,0.0868,0.1051,0.0183,5/5,"MEASURE_ET_DC_RF2_S22dB_26GHz=high, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_lkg_SY8_80=high","MEASURE_ET_DC_RF2_S22dB_26GHz=high, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_SY8_80=low",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0183."
MEASURE_ET_C385pf,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_Cap3,c_residual_conditional_structure,2.0875,2.0648,1.088,0.1375,0.1577,0.0202,5/5,"MEASURE_ET_C385pf=low, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_lkg_Cap3=high","MEASURE_ET_C385pf=low, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_Cap3=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0202."
MEASURE_ET_Cap2pf,MEASURE_ET_DC_RF_Max_S11_Ph_L2180,THIN_ET_lkg_10,c_residual_conditional_structure,2.1185,2.099,0.917,0.1135,0.1313,0.0178,5/5,"MEASURE_ET_Cap2pf=low, MEASURE_ET_DC_RF_Max_S11_Ph_L2180=low, THIN_ET_lkg_10=low","MEASURE_ET_Cap2pf=low, MEASURE_ET_DC_RF_Max_S11_Ph_L2180=high, THIN_ET_lkg_10=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0178."
MEASURE_ET_DC_Big_S12dB_10GHz,MEASURE_ET_DC_RF2_S22dB_26GHz,MEASURE_ET_DC_SMALL_Ids_m0p2,b_tree_path_cooccurrence,2.2044,2.1812,1.054,0.0422,0.0617,0.0195,5/5,"MEASURE_ET_DC_Big_S12dB_10GHz=low, MEASURE_ET_DC_RF2_S22dB_26GHz=low, MEASURE_ET_DC_SMALL_Ids_m0p2=low","MEASURE_ET_DC_Big_S12dB_10GHz=high, MEASURE_ET_DC_RF2_S22dB_26GHz=high, MEASURE_ET_DC_SMALL_Ids_m0p2=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0195."
