feature_name,source_type,present_in_original_csv,source_columns,modeling_status,exclusion_reason,feature_family,correlation_cluster_id,correlation_cluster_size
MEASURE_ET_DC_RF_Max_S11_Freq_L1002,original raw CSV column (numeric predictor),yes,,included,,MEASURE,122,1
MEASURE_ET_DC_RF_Max_S11_Freq_L1018,original raw CSV column (numeric predictor),yes,,included,,MEASURE,53,1
MEASURE_ET_DC_RF_Max_S11_Freq_L2180,original raw CSV column (numeric predictor),yes,,included,,MEASURE,344,1
MEASURE_ET_DC_RF_Max_S11_Mag_L1002,original raw CSV column (numeric predictor),yes,,included,,MEASURE,281,1
MEASURE_ET_DC_RF_Max_S11_Mag_L1018,original raw CSV column (numeric predictor),yes,,included,,MEASURE,277,1
MEASURE_ET_DC_RF_Max_S11_Mag_L2180,original raw CSV column (numeric predictor),yes,,included,,MEASURE,309,1
MEASURE_ET_DC_RF_Max_S11_Ph_L1002,original raw CSV column (numeric predictor),yes,,included,,MEASURE,176,1
MEASURE_ET_DC_RF_Max_S11_Ph_L1018,original raw CSV column (numeric predictor),yes,,included,,MEASURE,50,1
MEASURE_ET_DC_RF_Max_S11_Ph_L2180,original raw CSV column (numeric predictor),yes,,included,,MEASURE,77,1
MEASURE_ET_DC_RF_Min_S21_Freq_L1002,original raw CSV column (numeric predictor),yes,,included,,MEASURE,316,1
MEASURE_ET_DC_RF_Min_S21_Freq_L1018,original raw CSV column (numeric predictor),yes,,included,,MEASURE,298,1
MEASURE_ET_DC_RF_Min_S21_Freq_L2180,original raw CSV column (numeric predictor),yes,,included,,MEASURE,270,1
MEASURE_ET_DC_RF_Min_S21_Mag_L1002,original raw CSV column (numeric predictor),yes,,included,,MEASURE,295,1
MEASURE_ET_DC_RF_Min_S21_Mag_L1018,original raw CSV column (numeric predictor),yes,,included,,MEASURE,274,1
MEASURE_ET_DC_RF_Min_S21_Mag_L2180,original raw CSV column (numeric predictor),yes,,included,,MEASURE,321,1
MEASURE_ET_DC_RF_Min_S21_Ph_L1002,original raw CSV column (numeric predictor),yes,,included,,MEASURE,317,1
MEASURE_ET_DC_RF_Min_S21_Ph_L1018,original raw CSV column (numeric predictor),yes,,included,,MEASURE,293,1
MEASURE_ET_DC_RF_Min_S21_Ph_L2180,original raw CSV column (numeric predictor),yes,,included,,MEASURE,313,1
MEASURE_ET_DC_RF_MSG_10GHz,original raw CSV column (numeric predictor),yes,,included,,MEASURE,446,1
MEASURE_ET_DC_RF_MSG_18GHz,original raw CSV column (numeric predictor),yes,,included,,MEASURE,491,1
MEASURE_ET_DC_RF_n_gd,original raw CSV column (numeric predictor),yes,,included,,MEASURE,417,1
MEASURE_ET_DC_RF_n_gs,original raw CSV column (numeric predictor),yes,,included,,MEASURE,731,1
MEASURE_ET_DC_RF_S11ang_10GHz,original raw CSV column (numeric predictor),yes,,included,,MEASURE,398,1
MEASURE_ET_DC_RF_S11ang_26GHz,original raw CSV column (numeric predictor),yes,,included,,MEASURE,41,1
MEASURE_ET_DC_RF_S11ang_26GHz_W,original raw CSV column (numeric predictor),yes,,included,,MEASURE,174,1
MEASURE_ET_DC_RF_S11dB_10GHz,original raw CSV column (numeric predictor),yes,,included,,MEASURE,36,1
MEASURE_ET_DC_RF_S11dB_26GHz,original raw CSV column (numeric predictor),yes,,included,,MEASURE,437,1
MEASURE_ET_DC_RF_S11dB_26GHz_W,original raw CSV column (numeric predictor),yes,,included,,MEASURE,86,1
MEASURE_ET_DC_RF_S12ang_10GHz,original raw CSV column (numeric predictor),yes,,included,,MEASURE,135,1
MEASURE_ET_DC_RF_S12ang_26GHz,original raw CSV column (numeric predictor),yes,,included,,MEASURE,146,1
MEASURE_ET_DC_RF_S12ang_26GHz_W,original raw CSV column (numeric predictor),yes,,included,,MEASURE,459,1
MEASURE_ET_DC_RF_S12dB_10GHz,original raw CSV column (numeric predictor),yes,,included,,MEASURE,447,1
MEASURE_ET_DC_RF_S12dB_26GHz,original raw CSV column (numeric predictor),yes,,included,,MEASURE,39,1
MEASURE_ET_DC_RF_S12dB_26GHz_W,original raw CSV column (numeric predictor),yes,,included,,MEASURE,105,1
MEASURE_ET_DC_RF_S21ang_10GHz,original raw CSV column (numeric predictor),yes,,included,,MEASURE,323,1
MEASURE_ET_DC_RF_S21ang_26GHz,original raw CSV column (numeric predictor),yes,,included,,MEASURE,260,1
MEASURE_ET_DC_RF_S21ang_26GHz_W,original raw CSV column (numeric predictor),yes,,included,,MEASURE,267,1
MEASURE_ET_DC_RF_S21dB_10GHz,original raw CSV column (numeric predictor),yes,,included,,MEASURE,287,1
MEASURE_ET_DC_RF_S21dB_26GHz,original raw CSV column (numeric predictor),yes,,included,,MEASURE,280,1
MEASURE_ET_DC_RF_S21dB_26GHz_W,original raw CSV column (numeric predictor),yes,,included,,MEASURE,302,1
MEASURE_ET_DC_RF_S22ang_10GHz,original raw CSV column (numeric predictor),yes,,included,,MEASURE,402,1
MEASURE_ET_DC_RF_S22ang_26GHz,original raw CSV column (numeric predictor),yes,,included,,MEASURE,604,1
MEASURE_ET_DC_RF_S22ang_26GHz_W,original raw CSV column (numeric predictor),yes,,included,,MEASURE,59,1
MEASURE_ET_DC_RF_S22dB_10GHz,original raw CSV column (numeric predictor),yes,,included,,MEASURE,55,1
MEASURE_ET_DC_RF_S22dB_26GHz,original raw CSV column (numeric predictor),yes,,included,,MEASURE,111,1
MEASURE_ET_DC_RF_S22dB_26GHz_W,original raw CSV column (numeric predictor),yes,,included,,MEASURE,478,1
MEASURE_ET_DC_RF_Vbgd_0p01,original raw CSV column (numeric predictor),yes,,included,,MEASURE,784,1
MEASURE_ET_DC_RF_Vbgd_0p1,original raw CSV column (numeric predictor),yes,,included,,MEASURE,777,1
MEASURE_ET_DC_RF_Vbgd1,original raw CSV column (numeric predictor),yes,,included,,MEASURE,757,1
MEASURE_ET_DC_RF_Vbgs_0p01,original raw CSV column (numeric predictor),yes,,included,,MEASURE,804,1
MEASURE_ET_DC_RF_Vbgs_0p1,original raw CSV column (numeric predictor),yes,,included,,MEASURE,793,1
MEASURE_ET_DC_RF_Vbgs1,original raw CSV column (numeric predictor),yes,,included,,MEASURE,778,1
MEASURE_ET_DC_RF_Vbin_gd,original raw CSV column (numeric predictor),yes,,included,,MEASURE,785,1
MEASURE_ET_DC_RF_Vbin_gs,original raw CSV column (numeric predictor),yes,,included,,MEASURE,779,1
MEASURE_ET_DC_RF_Vboff,original raw CSV column (numeric predictor),yes,,included,,MEASURE,66,1
MEASURE_ET_DC_RF_Vboff_ON,original raw CSV column (numeric predictor),yes,,included,,MEASURE,173,1
MEASURE_ET_DC_RF_Vbon_max,original raw CSV column (numeric predictor),yes,,included,,MEASURE,677,1
MEASURE_ET_DC_RF_Vbon_min,original raw CSV column (numeric predictor),yes,,included,,MEASURE,396,1
MEASURE_ET_DC_RF_Vdg_max,original raw CSV column (numeric predictor),yes,,included,,MEASURE,548,1
MEASURE_ET_DC_RF_Vdg_max_0p1,original raw CSV column (numeric predictor),yes,,included,,MEASURE,338,1
MEASURE_ET_DC_RF_Vdg_max_0p1mA,original raw CSV column (numeric predictor),yes,,included,,MEASURE,194,1
MEASURE_ET_DC_RF_Vds_max,original raw CSV column (numeric predictor),yes,,included,,MEASURE,553,1
MEASURE_ET_DC_RF_Vds_max_0p1,original raw CSV column (numeric predictor),yes,,included,,MEASURE,413,1
MEASURE_ET_DC_RF_Vds_max_0p1mA,original raw CSV column (numeric predictor),yes,,included,,MEASURE,602,1
MEASURE_ET_DC_RF_Vg_gm_max,original raw CSV column (numeric predictor),yes,,included,,MEASURE,557,199
MEASURE_ET_DC_RF_Vg_gm_max_W,original raw CSV column (numeric predictor),yes,,included,,MEASURE,557,199
MEASURE_ET_DC_RF_Vg_max_Vd,original raw CSV column (numeric predictor),yes,,included,,MEASURE,876,1
MEASURE_ET_DC_RF_Vg_max_Vd_0p1,original raw CSV column (numeric predictor),yes,,included,,MEASURE,369,1
MEASURE_ET_DC_RF_Vg_max_Vd_0p1mA,original raw CSV column (numeric predictor),yes,,included,,MEASURE,655,1
MEASURE_ET_DC_RF_Vg_optt,original raw CSV column (numeric predictor),yes,,included,,MEASURE,242,1
MEASURE_ET_DC_RF_Vg_Vbon_max,original raw CSV column (numeric predictor),yes,,included,,MEASURE,931,1
MEASURE_ET_DC_RF_Vg_Vbon_min,original raw CSV column (numeric predictor),yes,,included,,MEASURE,25,1
MEASURE_ET_DC_RF_Vp_01,original raw CSV column (numeric predictor),yes,,included,,MEASURE,557,199
MEASURE_ET_DC_RF_Vp_01_W,original raw CSV column (numeric predictor),yes,,included,,MEASURE,557,199
MEASURE_ET_DC_RF_Vp_1,original raw CSV column (numeric predictor),yes,,included,,MEASURE,557,199
MEASURE_ET_DC_RF_Vp_1_W,original raw CSV column (numeric predictor),yes,,included,,MEASURE,557,199
MEASURE_ET_DC_RF_Vt_gd,original raw CSV column (numeric predictor),yes,,included,,MEASURE,126,1
MEASURE_ET_DC_RF_Vt_gs,original raw CSV column (numeric predictor),yes,,included,,MEASURE,207,1
MEASURE_ET_DC_RF2_Ft,original raw CSV column (numeric predictor),yes,,included,,MEASURE,901,1
MEASURE_ET_DC_RF2_K,original raw CSV column (numeric predictor),yes,,included,,MEASURE,926,1
MEASURE_ET_DC_RF2_MAG_26GHz,original raw CSV column (numeric predictor),yes,,included,,MEASURE,262,1
MEASURE_ET_DC_RF2_MAG_35GHz,original raw CSV column (numeric predictor),yes,,included,,MEASURE,289,1
MEASURE_ET_DC_RF2_S11ang_26GHz,original raw CSV column (numeric predictor),yes,,included,,MEASURE,32,1
MEASURE_ET_DC_RF2_S11dB_26GHz,original raw CSV column (numeric predictor),yes,,included,,MEASURE,2,1
MEASURE_ET_DC_RF2_S12ang_26GHz,original raw CSV column (numeric predictor),yes,,included,,MEASURE,60,1
MEASURE_ET_DC_RF2_S12dB_26GHz,original raw CSV column (numeric predictor),yes,,included,,MEASURE,551,1
MEASURE_ET_DC_RF2_S21ang_26GHz,original raw CSV column (numeric predictor),yes,,included,,MEASURE,269,1
MEASURE_ET_DC_RF2_S21dB_26GHz,original raw CSV column (numeric predictor),yes,,included,,MEASURE,283,1
MEASURE_ET_DC_RF2_S22ang_26GHz,original raw CSV column (numeric predictor),yes,,included,,MEASURE,26,1
MEASURE_ET_DC_RF2_S22dB_26GHz,original raw CSV column (numeric predictor),yes,,included,,MEASURE,151,1
MEASURE_ET_DC_SEC_Gm_0,original raw CSV column (numeric predictor),yes,,included,,MEASURE,557,199
MEASURE_ET_DC_SEC_Gm_m0p2,original raw CSV column (numeric predictor),yes,,included,,MEASURE,557,199
MEASURE_ET_DC_SEC_Gm_max,original raw CSV column (numeric predictor),yes,,included,,MEASURE,557,199
MEASURE_ET_DC_SEC_Id_gm_max,original raw CSV column (numeric predictor),yes,,included,,MEASURE,557,199
MEASURE_ET_DC_SEC_Ids_m0p2,original raw CSV column (numeric predictor),yes,,included,,MEASURE,910,1
MEASURE_ET_DC_SEC_Ids_max_ON,original raw CSV column (numeric predictor),yes,,included,,MEASURE,475,1
MEASURE_ET_DC_SEC_Ids_min_ON,original raw CSV column (numeric predictor),yes,,included,,MEASURE,389,1
MEASURE_ET_DC_SEC_Idss,original raw CSV column (numeric predictor),yes,,included,,MEASURE,557,199
MEASURE_ET_DC_SEC_Imax,original raw CSV column (numeric predictor),yes,,included,,MEASURE,557,199
MEASURE_ET_DC_SEC_Imax_6V,original raw CSV column (numeric predictor),yes,,included,,MEASURE,557,199
MEASURE_ET_DC_SEC_Imax_7V,original raw CSV column (numeric predictor),yes,,included,,MEASURE,557,199
MEASURE_ET_DC_SEC_n_gs,original raw CSV column (numeric predictor),yes,,included,,MEASURE,393,1
MEASURE_ET_DC_SEC_Vbin_gs,original raw CSV column (numeric predictor),yes,,included,,MEASURE,762,1
MEASURE_ET_DC_SEC_Vboff_1,original raw CSV column (numeric predictor),yes,,included,,MEASURE,855,1
MEASURE_ET_DC_SEC_Vboff_2_1,original raw CSV column (numeric predictor),yes,,included,,MEASURE,80,1
MEASURE_ET_DC_SEC_Vboff_Vds_min_ON,original raw CSV column (numeric predictor),yes,,included,,MEASURE,394,1
MEASURE_ET_DC_SEC_Vds_max_ON,original raw CSV column (numeric predictor),yes,,included,,MEASURE,833,1
MEASURE_ET_DC_SEC_Vds_min_ON,original raw CSV column (numeric predictor),yes,,included,,MEASURE,640,1
MEASURE_ET_DC_SEC_Vg_gm_max,original raw CSV column (numeric predictor),yes,,included,,MEASURE,557,199
MEASURE_ET_DC_SEC_Vg_max_ON,original raw CSV column (numeric predictor),yes,,included,,MEASURE,872,1
MEASURE_ET_DC_SEC_Vg_min_ON,original raw CSV column (numeric predictor),yes,,included,,MEASURE,981,1
MEASURE_ET_DC_SEC_Vgs_0p1V,original raw CSV column (numeric predictor),yes,,included,,MEASURE,334,1
MEASURE_ET_DC_SEC_Vgs_0p5V,original raw CSV column (numeric predictor),yes,,included,,MEASURE,929,1
MEASURE_ET_DC_SEC_Vgs_1V,original raw CSV column (numeric predictor),yes,,included,,MEASURE,661,1
MEASURE_ET_DC_SEC_Vgs_back_0p1V,original raw CSV column (numeric predictor),yes,,included,,MEASURE,879,1
MEASURE_ET_DC_SEC_Vgs_back_0p5V,original raw CSV column (numeric predictor),yes,,included,,MEASURE,139,1
MEASURE_ET_DC_SEC_Vgs_back_1V,original raw CSV column (numeric predictor),yes,,included,,MEASURE,975,1
MEASURE_ET_DC_SEC_Vp_10mA,original raw CSV column (numeric predictor),yes,,included,,MEASURE,557,199
MEASURE_ET_DC_SEC_Vp_1mA,original raw CSV column (numeric predictor),yes,,included,,MEASURE,557,199
MEASURE_ET_DC_SEC_Vt_gs,original raw CSV column (numeric predictor),yes,,included,,MEASURE,940,1
MEASURE_ET_DC_SEC_S_Bin,original raw CSV column (numeric predictor),yes,,included,,MEASURE,220,1
MEASURE_ET_DC_SEC_S_Bin_FPSD3p2,original raw CSV column (numeric predictor),yes,,included,,MEASURE,639,1
MEASURE_ET_DC_SEC_S_Bin_SD3p5,original raw CSV column (numeric predictor),yes,,included,,MEASURE,959,1
MEASURE_ET_DC_SEC_S_ChipStatus,original raw CSV column (numeric predictor),yes,,included,,MEASURE,603,1
MEASURE_ET_DC_SEC_S_Id_at_Vboff_mA_mm,original raw CSV column (numeric predictor),yes,,included,,MEASURE,630,1
MEASURE_ET_DC_SEC_S_Id_at_Vboff_mA_mm_FPSD3p2,original raw CSV column (numeric predictor),yes,,included,,MEASURE,823,1
MEASURE_ET_DC_SEC_S_Id_at_Vboff_mA_mm_SD3p5,original raw CSV column (numeric predictor),yes,,included,,MEASURE,168,1
MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg1,original raw CSV column (numeric predictor),yes,,included,,MEASURE,936,1
MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg1_FPSD3p2,original raw CSV column (numeric predictor),yes,,included,,MEASURE,914,1
MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg1_SD3p5,original raw CSV column (numeric predictor),yes,,included,,MEASURE,709,1
MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg2,original raw CSV column (numeric predictor),yes,,included,,MEASURE,897,1
MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg2_FPSD3p2,original raw CSV column (numeric predictor),yes,,included,,MEASURE,663,1
MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg2_SD3p5,original raw CSV column (numeric predictor),yes,,included,,MEASURE,590,1
MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3,original raw CSV column (numeric predictor),yes,,included,,MEASURE,739,1
MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3_FPSD3p2,original raw CSV column (numeric predictor),yes,,included,,MEASURE,221,1
MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3_SD3p5,original raw CSV column (numeric predictor),yes,,included,,MEASURE,175,1
MEASURE_ET_DC_SEC_S_Id_plus_Ig_at_Vboff_mA_mm,original raw CSV column (numeric predictor),yes,,included,,MEASURE,229,1
MEASURE_ET_DC_SEC_S_Id_plus_Ig_at_Vboff_mA_mm_FPSD3p2,original raw CSV column (numeric predictor),yes,,included,,MEASURE,697,1
MEASURE_ET_DC_SEC_S_Id_plus_Ig_at_Vboff_mA_mm_SD3p5,original raw CSV column (numeric predictor),yes,,included,,MEASURE,934,1
MEASURE_ET_DC_SEC_S_Ids_max,original raw CSV column (numeric predictor),yes,,included,,MEASURE,747,1
MEASURE_ET_DC_SEC_S_Ids_max_FPSD3p2,original raw CSV column (numeric predictor),yes,,included,,MEASURE,744,1
MEASURE_ET_DC_SEC_S_Ids_max_norm,original raw CSV column (numeric predictor),yes,,included,,MEASURE,333,1
MEASURE_ET_DC_SEC_S_Ids_max_norm_FPSD3p2,original raw CSV column (numeric predictor),yes,,included,,MEASURE,857,1
MEASURE_ET_DC_SEC_S_Ids_max_norm_SD3p5,original raw CSV column (numeric predictor),yes,,included,,MEASURE,834,1
MEASURE_ET_DC_SEC_S_Ids_max_SD3p5,original raw CSV column (numeric predictor),yes,,included,,MEASURE,5,1
MEASURE_ET_DC_SEC_S_Ig_cut1_mAmm_neg,original raw CSV column (numeric predictor),yes,,included,,MEASURE,212,1
MEASURE_ET_DC_SEC_S_Ig_cut1_mAmm_neg_FPSD3p2,original raw CSV column (numeric predictor),yes,,included,,MEASURE,382,1
MEASURE_ET_DC_SEC_S_Ig_cut1_mAmm_neg_SD3p5,original raw CSV column (numeric predictor),yes,,included,,MEASURE,189,1
MEASURE_ET_DC_SEC_S_Ig_cut1_mAmm_pos,original raw CSV column (numeric predictor),yes,,included,,MEASURE,419,1
MEASURE_ET_DC_SEC_S_Ig_cut1_mAmm_pos_FPSD3p2,original raw CSV column (numeric predictor),yes,,included,,MEASURE,967,1
MEASURE_ET_DC_SEC_S_Ig_cut1_mAmm_pos_SD3p5,original raw CSV column (numeric predictor),yes,,included,,MEASURE,496,1
MEASURE_ET_DC_SEC_S_Ig_cut2_mAmm_neg,original raw CSV column (numeric predictor),yes,,included,,MEASURE,368,1
MEASURE_ET_DC_SEC_S_Ig_cut2_mAmm_neg_FPSD3p2,original raw CSV column (numeric predictor),yes,,included,,MEASURE,183,1
MEASURE_ET_DC_SEC_S_Ig_cut2_mAmm_neg_SD3p5,original raw CSV column (numeric predictor),yes,,included,,MEASURE,401,1
MEASURE_ET_DC_SEC_S_Ig_cut2_mAmm_pos,original raw CSV column (numeric predictor),yes,,included,,MEASURE,927,1
MEASURE_ET_DC_SEC_S_Ig_cut2_mAmm_pos_FPSD3p2,original raw CSV column (numeric predictor),yes,,included,,MEASURE,706,1
MEASURE_ET_DC_SEC_S_Ig_cut2_mAmm_pos_SD3p5,original raw CSV column (numeric predictor),yes,,included,,MEASURE,397,1
MEASURE_ET_DC_SEC_S_Ig_cut3_mAmm_neg,original raw CSV column (numeric predictor),yes,,included,,MEASURE,908,1
MEASURE_ET_DC_SEC_S_Ig_cut3_mAmm_neg_FPSD3p2,original raw CSV column (numeric predictor),yes,,included,,MEASURE,427,1
MEASURE_ET_DC_SEC_S_Ig_cut3_mAmm_neg_SD3p5,original raw CSV column (numeric predictor),yes,,included,,MEASURE,143,1
MEASURE_ET_DC_SEC_S_Ig_cut3_mAmm_pos,original raw CSV column (numeric predictor),yes,,included,,MEASURE,984,1
MEASURE_ET_DC_SEC_S_Ig_cut3_mAmm_pos_FPSD3p2,original raw CSV column (numeric predictor),yes,,included,,MEASURE,843,1
MEASURE_ET_DC_SEC_S_Ig_cut3_mAmm_pos_SD3p5,original raw CSV column (numeric predictor),yes,,included,,MEASURE,885,1
MEASURE_ET_DC_SEC_S_Ig_mAmm_at_Vg_cond_neg,original raw CSV column (numeric predictor),yes,,included,,MEASURE,972,1
MEASURE_ET_DC_SEC_S_Ig_mAmm_at_Vg_cond_neg_FPSD3p2,original raw CSV column (numeric predictor),yes,,included,,MEASURE,335,1
MEASURE_ET_DC_SEC_S_Ig_mAmm_at_Vg_cond_neg_SD3p5,original raw CSV column (numeric predictor),yes,,included,,MEASURE,7,1
MEASURE_ET_DC_SEC_S_Ig_mAmm_at_Vg_cond_pos,original raw CSV column (numeric predictor),yes,,included,,MEASURE,408,1
MEASURE_ET_DC_SEC_S_Ig_mAmm_at_Vg_cond_pos_FPSD3p2,original raw CSV column (numeric predictor),yes,,included,,MEASURE,977,1
MEASURE_ET_DC_SEC_S_Ig_mAmm_at_Vg_cond_pos_SD3p5,original raw CSV column (numeric predictor),yes,,included,,MEASURE,34,1
MEASURE_ET_DC_SEC_S_Ron,original raw CSV column (numeric predictor),yes,,included,,MEASURE,431,1
MEASURE_ET_DC_SEC_S_Ron_FPSD3p2,original raw CSV column (numeric predictor),yes,,included,,MEASURE,455,1
MEASURE_ET_DC_SEC_S_Ron_SD3p5,original raw CSV column (numeric predictor),yes,,included,,MEASURE,444,1
MEASURE_ET_DC_SEC_S_Vboff_Id,original raw CSV column (numeric predictor),yes,,included,,MEASURE,370,1
MEASURE_ET_DC_SEC_S_Vboff_Id_FPSD3p2,original raw CSV column (numeric predictor),yes,,included,,MEASURE,206,1
MEASURE_ET_DC_SEC_S_Vboff_Id_plus_Ig,original raw CSV column (numeric predictor),yes,,included,,MEASURE,90,1
MEASURE_ET_DC_SEC_S_Vboff_Id_plus_Ig_FPSD3p2,original raw CSV column (numeric predictor),yes,,included,,MEASURE,435,1
MEASURE_ET_DC_SEC_S_Vboff_Id_plus_Ig_SD3p5,original raw CSV column (numeric predictor),yes,,included,,MEASURE,108,1
MEASURE_ET_DC_SEC_S_Vboff_Id_SD3p5,original raw CSV column (numeric predictor),yes,,included,,MEASURE,898,1
MEASURE_ET_DC_SEC_S_Vg_at_I1_neg,original raw CSV column (numeric predictor),yes,,included,,MEASURE,107,1
MEASURE_ET_DC_SEC_S_Vg_at_I1_neg_FPSD3p2,original raw CSV column (numeric predictor),yes,,included,,MEASURE,698,1
MEASURE_ET_DC_SEC_S_Vg_at_I1_neg_SD3p5,original raw CSV column (numeric predictor),yes,,included,,MEASURE,95,1
MEASURE_ET_DC_SEC_S_Vg_at_I1_pos,original raw CSV column (numeric predictor),yes,,included,,MEASURE,825,1
MEASURE_ET_DC_SEC_S_Vg_at_I1_pos_FPSD3p2,original raw CSV column (numeric predictor),yes,,included,,MEASURE,136,1
MEASURE_ET_DC_SEC_S_Vg_at_I1_pos_SD3p5,original raw CSV column (numeric predictor),yes,,included,,MEASURE,629,1
MEASURE_ET_DC_SEC_S_Vg_at_I2_neg,original raw CSV column (numeric predictor),yes,,included,,MEASURE,831,1
MEASURE_ET_DC_SEC_S_Vg_at_I2_neg_FPSD3p2,original raw CSV column (numeric predictor),yes,,included,,MEASURE,669,1
MEASURE_ET_DC_SEC_S_Vg_at_I2_neg_SD3p5,original raw CSV column (numeric predictor),yes,,included,,MEASURE,68,1
MEASURE_ET_DC_SEC_S_Vg_at_I2_pos,original raw CSV column (numeric predictor),yes,,included,,MEASURE,423,1
MEASURE_ET_DC_SEC_S_Vg_at_I2_pos_FPSD3p2,original raw CSV column (numeric predictor),yes,,included,,MEASURE,198,1
MEASURE_ET_DC_SEC_S_Vg_at_I2_pos_SD3p5,original raw CSV column (numeric predictor),yes,,included,,MEASURE,916,1
MEASURE_ET_DC_SEC_S_Vg_at_I3_neg,original raw CSV column (numeric predictor),yes,,included,,MEASURE,489,1
MEASURE_ET_DC_SEC_S_Vg_at_I3_neg_FPSD3p2,original raw CSV column (numeric predictor),yes,,included,,MEASURE,725,1
MEASURE_ET_DC_SEC_S_Vg_at_I3_neg_SD3p5,original raw CSV column (numeric predictor),yes,,included,,MEASURE,924,1
MEASURE_ET_DC_SEC_S_Vg_at_I3_pos,original raw CSV column (numeric predictor),yes,,included,,MEASURE,983,1
MEASURE_ET_DC_SEC_S_Vg_at_I3_pos_FPSD3p2,original raw CSV column (numeric predictor),yes,,included,,MEASURE,96,1
MEASURE_ET_DC_SEC_S_Vg_at_I3_pos_SD3p5,original raw CSV column (numeric predictor),yes,,included,,MEASURE,488,1
MEASURE_ET_DC_SEC_S_Vp_0p7_mA_mm,original raw CSV column (numeric predictor),yes,,included,,MEASURE,557,199
MEASURE_ET_DC_SEC_S_Vp_1_mA_mm,original raw CSV column (numeric predictor),yes,,included,,MEASURE,557,199
MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_first,original raw CSV column (numeric predictor),yes,,included,,MEASURE,557,199
MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_first_FPSD3p2,original raw CSV column (numeric predictor),yes,,included,,MEASURE,557,199
MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_first_SD3p5,original raw CSV column (numeric predictor),yes,,included,,MEASURE,557,199
MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_second,original raw CSV column (numeric predictor),yes,,included,,MEASURE,557,199
MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_second_FPSD3p2,original raw CSV column (numeric predictor),yes,,included,,MEASURE,557,199
MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_second_SD3p5,original raw CSV column (numeric predictor),yes,,included,,MEASURE,557,199
MEASURE_ET_DC_SEC_X_Bin,original raw CSV column (numeric predictor),yes,,included,,MEASURE,412,1
MEASURE_ET_DC_SEC_X_Bin_FPSD3p2,original raw CSV column (numeric predictor),yes,,included,,MEASURE,490,1
MEASURE_ET_DC_SEC_X_Bin_SD3p5,original raw CSV column (numeric predictor),yes,,included,,MEASURE,200,1
MEASURE_ET_DC_SEC_X_ChipStatus,original raw CSV column (numeric predictor),yes,,included,,MEASURE,656,1
MEASURE_ET_DC_SEC_X_Id_at_Vboff_mA_mm,original raw CSV column (numeric predictor),yes,,included,,MEASURE,743,1
MEASURE_ET_DC_SEC_X_Id_at_Vboff_mA_mm_FPSD3p2,original raw CSV column (numeric predictor),yes,,included,,MEASURE,859,1
MEASURE_ET_DC_SEC_X_Id_at_Vboff_mA_mm_SD3p5,original raw CSV column (numeric predictor),yes,,included,,MEASURE,245,1
MEASURE_ET_DC_SEC_X_Id_mA_mm_at_Vg1,original raw CSV column (numeric predictor),yes,,included,,MEASURE,695,1
MEASURE_ET_DC_SEC_X_Id_mA_mm_at_Vg1_FPSD3p2,original raw CSV column (numeric predictor),yes,,included,,MEASURE,470,1
MEASURE_ET_DC_SEC_X_Id_mA_mm_at_Vg1_SD3p5,original raw CSV column (numeric predictor),yes,,included,,MEASURE,647,1
MEASURE_ET_DC_SEC_X_Id_mA_mm_at_Vg2,original raw CSV column (numeric predictor),yes,,included,,MEASURE,637,1
MEASURE_ET_DC_SEC_X_Id_mA_mm_at_Vg2_FPSD3p2,original raw CSV column (numeric predictor),yes,,included,,MEASURE,224,1
MEASURE_ET_DC_SEC_X_Id_mA_mm_at_Vg2_SD3p5,original raw CSV column (numeric predictor),yes,,included,,MEASURE,899,1
MEASURE_ET_DC_SEC_X_Id_mA_mm_at_Vg3,original raw CSV column (numeric predictor),yes,,included,,MEASURE,37,1
MEASURE_ET_DC_SEC_X_Id_mA_mm_at_Vg3_FPSD3p2,original raw CSV column (numeric predictor),yes,,included,,MEASURE,450,1
MEASURE_ET_DC_SEC_X_Id_mA_mm_at_Vg3_SD3p5,original raw CSV column (numeric predictor),yes,,included,,MEASURE,466,1
MEASURE_ET_DC_SEC_X_Id_plus_Ig_at_Vboff_mA_mm,original raw CSV column (numeric predictor),yes,,included,,MEASURE,115,1
MEASURE_ET_DC_SEC_X_Id_plus_Ig_at_Vboff_mA_mm_FPSD3p2,original raw CSV column (numeric predictor),yes,,included,,MEASURE,204,1
MEASURE_ET_DC_SEC_X_Id_plus_Ig_at_Vboff_mA_mm_SD3p5,original raw CSV column (numeric predictor),yes,,included,,MEASURE,592,1
