parameter_A,parameter_B,parameter_C,contrast_3way,max_2way_contrast_in_cube,adds_beyond_lower_order,"high_yield_region_(A,B,C)_bins",high_yield_mean,"low_yield_region_(A,B,C)_bins",low_yield_mean,min_cell_count,fold_sign_reproducibility,evidence_label,reason
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_Rcat_cn_2,THIN_ET_lkg_100_at20V,-0.0972,0.5104,False,"(0, 0, 0)",93.265,"(1, 1, 1)",89.825,65.0,2/2,WEAK,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_Rcat_cn_2,TOPSIN_ET_lkg_C450pf,-0.2146,0.2645,False,"(0, 0, 0)",93.887,"(1, 1, 1)",90.462,75.0,2/2,WEAK,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_Rcat_cn_2_OW_ST,THIN_ET_lkg_100_at20V,-0.0625,0.5883,False,"(1, 0, 0)",93.237,"(1, 1, 1)",89.281,57.0,2/3,WEAK,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_Rcat_cn_3,THIN_ET_lkg_100_at20V,-0.0448,0.5858,False,"(1, 0, 0)",93.02,"(1, 1, 1)",89.23,82.0,5/5,MODERATE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_VIA_KLV_2,THIN_ET_lkg_100_at20V,-0.164,0.5421,False,"(1, 0, 0)",93.192,"(1, 1, 1)",90.053,104.0,4/4,MODERATE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MESA_ET_Probe_Number,THIN_ET_lkg_100_at20V,0.0288,0.5263,False,"(1, 1, 0)",93.024,"(1, 0, 1)",89.744,120.0,2/5,WEAK,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MESA_ET_Probe_Number,TOPSIN_ET_lkg_C450pf,0.103,0.3276,False,"(0, 0, 0)",92.878,"(1, 0, 1)",90.179,125.0,3/5,MODERATE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MaskSetSupplyChipsCount,THIN_ET_lkg_100_at20V,-0.0385,0.4995,False,"(1, 0, 0)",92.931,"(1, 0, 1)",90.231,97.0,1/5,WEAK,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,OHMIC_ET_Rc_an_ct2,THIN_ET_lkg_100_at20V,-0.1733,0.6506,False,"(1, 0, 0)",93.22,"(1, 1, 1)",88.415,65.0,1/2,WEAK,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,SIN_ET_Probe_Number,THIN_ET_lkg_100_at20V,0.2904,0.5348,False,"(1, 1, 0)",92.995,"(1, 0, 1)",89.489,121.0,4/4,MODERATE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,SIN_GATE_ET_Rc_OG142_GN,TOPSIN_ET_lkg_C450pf,-0.1119,0.3483,False,"(0, 0, 0)",93.306,"(1, 1, 1)",88.965,68.0,2/4,WEAK,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,SIN_GATE_ET_Rc_an_ct2,THIN_ET_lkg_100_at20V,-0.1123,0.5471,False,"(0, 0, 0)",93.138,"(1, 1, 1)",89.034,61.0,1/3,WEAK,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,SIN_GATE_ET_Rc_an_ct2,TOPSIN_ET_lkg_C450pf,-0.3086,0.3332,False,"(0, 0, 0)",93.819,"(1, 1, 1)",89.296,70.0,2/3,WEAK,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,TFRP_ET_Rc_TF_AB_2,THIN_ET_lkg_100_at20V,-0.1907,0.5294,False,"(1, 1, 0)",92.937,"(1, 1, 1)",89.597,99.0,5/5,MODERATE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,TFRP_ET_Rc_TF_AB_2,TOPSIN_ET_lkg_C450pf,-0.2927,0.3104,False,"(0, 0, 0)",93.414,"(1, 1, 1)",90.043,90.0,5/5,MODERATE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,THIN_ET_DC_RF_Gm_max,TOPSIN_ET_lkg_C450pf,0.162,0.4118,False,"(1, 0, 0)",93.055,"(1, 0, 1)",89.916,94.0,3/3,MODERATE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,THIN_ET_DC_RF_Vds_max_0p1mA,THIN_ET_lkg_100_at20V,0.1987,0.4741,False,"(0, 1, 0)",92.952,"(1, 0, 1)",89.376,83.0,2/2,WEAK,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,THIN_ET_DC_RF_Vg_optt3,THIN_ET_lkg_100_at20V,-0.2825,0.5035,False,"(1, 1, 0)",93.081,"(1, 1, 1)",89.156,121.0,5/5,MODERATE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,THIN_ET_DC_RF_Vg_optt3,TOPSIN_ET_lkg_C450pf,-0.3337,0.3734,False,"(1, 1, 0)",92.814,"(1, 1, 1)",89.085,116.0,5/5,MODERATE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,THIN_ET_Rc_OG142,THIN_ET_lkg_100_at20V,-0.2419,0.5859,False,"(1, 0, 0)",93.465,"(1, 1, 1)",87.997,86.0,4/4,MODERATE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,THIN_ET_Rc_OG142,TOPSIN_ET_lkg_C450pf,-0.333,0.3467,False,"(0, 0, 0)",93.437,"(1, 1, 1)",88.546,89.0,4/4,MODERATE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,THIN_ET_Rc_TF_AB_2,THIN_ET_lkg_100_at20V,-0.049,0.5557,False,"(1, 0, 0)",93.222,"(1, 1, 1)",89.016,62.0,3/5,MODERATE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,THIN_ET_Rc_cat_ct2,THIN_ET_lkg_100_at20V,-0.2611,0.5512,False,"(1, 1, 0)",93.094,"(1, 1, 1)",89.126,73.0,2/2,WEAK,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,THIN_ET_Rc_cat_ct2,TOPSIN_ET_lkg_C450pf,-0.3286,0.3194,True,"(0, 0, 0)",93.602,"(1, 1, 1)",89.434,58.0,1/1,WEAK,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,THIN_ET_Rc_f_hr_23,THIN_ET_lkg_100_at20V,-0.2713,0.6115,False,"(0, 0, 0)",92.991,"(1, 1, 1)",88.562,68.0,3/4,MODERATE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,THIN_ET_Rc_f_hr_23,TOPSIN_ET_lkg_C450pf,-0.2727,0.341,False,"(0, 0, 0)",93.446,"(1, 1, 1)",89.475,67.0,3/3,MODERATE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,THIN_ET_Rcat_cn_1,THIN_ET_lkg_100_at20V,-0.1947,0.5712,False,"(0, 0, 0)",93.017,"(1, 1, 1)",89.097,81.0,3/4,MODERATE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,THIN_ET_Rcat_cn_1,TOPSIN_ET_lkg_C450pf,-0.308,0.3171,False,"(0, 0, 0)",93.69,"(1, 1, 1)",89.58,71.0,3/3,MODERATE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,THIN_ET_Rcat_cn_2_OW_ST,THIN_ET_lkg_100_at20V,-0.2178,0.6336,False,"(1, 1, 0)",93.076,"(1, 1, 1)",88.949,71.0,1/2,WEAK,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,THIN_ET_Rcat_cn_3,THIN_ET_lkg_100_at20V,-0.1468,0.5689,False,"(1, 0, 0)",93.117,"(1, 1, 1)",88.674,75.0,3/4,MODERATE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,THIN_ET_Rcat_cn_3,TOPSIN_ET_lkg_C450pf,-0.2629,0.3651,False,"(0, 0, 0)",93.315,"(1, 1, 1)",89.124,89.0,4/4,MODERATE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,THIN_ET_lkg_100_at20V,TOPSIN_ET_CapFICM1,0.0847,0.5237,False,"(1, 0, 0)",93.478,"(1, 1, 1)",90.22,105.0,2/5,WEAK,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,THIN_ET_lkg_100_at20V,TOPSIN_ET_CapFICM1_0,0.0811,0.5079,False,"(1, 0, 0)",93.257,"(1, 1, 0)",89.749,101.0,1/4,WEAK,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,THIN_ET_lkg_100_at20V,TOPSIN_ET_DC_SMALL_Vdg_max,0.3176,0.5167,False,"(1, 0, 0)",93.282,"(1, 1, 0)",90.231,113.0,4/5,MODERATE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,THIN_ET_lkg_100_at20V,TOPSIN_ET_Load_Pull_Gain_comp_Last,0.0266,0.5049,False,"(1, 0, 1)",93.339,"(1, 1, 0)",89.828,121.0,4/5,MODERATE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,THIN_ET_lkg_100_at20V,TOPSIN_ET_Rc_OG144,-0.0877,0.5231,False,"(1, 0, 0)",93.115,"(1, 1, 1)",89.424,96.0,2/4,WEAK,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_C450pf,0.0409,0.5968,False,"(1, 0, 0)",92.943,"(1, 1, 1)",90.257,26.0,0/0,INCONCLUSIVE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,TOPSIN_ET_CapFICM1,TOPSIN_ET_lkg_C450pf,0.2215,0.3412,False,"(1, 0, 0)",93.512,"(1, 1, 1)",90.475,113.0,4/4,MODERATE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,TOPSIN_ET_CapPARCAP_0,TOPSIN_ET_lkg_C450pf,-0.321,0.392,False,"(0, 0, 0)",93.569,"(1, 1, 1)",88.458,61.0,3/3,MODERATE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,TOPSIN_ET_Gate_res,TOPSIN_ET_lkg_C450pf,0.1417,0.3917,False,"(1, 1, 0)",93.027,"(1, 0, 1)",89.25,92.0,3/4,MODERATE,
FIC_ET_Bad_Gates,FIC_ET_DC_RF_Vp_1,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.1075,0.0803,True,"(0, 1, 0)",92.925,"(0, 1, 1)",91.027,126.0,4/5,STRONG,
FIC_ET_Bad_Gates,FIC_ET_Probe_Number,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.3098,0.3172,False,"(1, 1, 0)",93.249,"(0, 0, 1)",90.28,109.0,5/5,MODERATE,
FIC_ET_Bad_Gates,FIC_ET_Rc_OG142,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.26,0.3578,False,"(0, 0, 0)",93.335,"(0, 1, 1)",90.537,125.0,3/3,MODERATE,
FIC_ET_Bad_Gates,FIC_ET_Rc_f_tn_23,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.0632,0.4615,False,"(0, 0, 0)",93.123,"(0, 1, 1)",89.575,123.0,2/5,WEAK,
FIC_ET_Bad_Gates,MEASURE_ET_C100C175pf,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.0205,0.2449,False,"(1, 0, 0)",93.124,"(0, 0, 1)",90.65,119.0,1/5,WEAK,
FIC_ET_Bad_Gates,MEASURE_ET_C100CapPARCAP,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.1734,0.295,False,"(0, 0, 0)",93.502,"(0, 1, 1)",90.287,117.0,1/4,WEAK,
FIC_ET_Bad_Gates,MEASURE_ET_CapPARCAP,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.0698,0.4945,False,"(0, 0, 0)",93.27,"(0, 1, 1)",90.144,128.0,2/4,WEAK,
FIC_ET_Bad_Gates,MEASURE_ET_CapPARCAP_0,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.0766,0.5142,False,"(0, 0, 0)",93.1,"(0, 1, 1)",89.468,108.0,4/5,MODERATE,
FIC_ET_Bad_Gates,MEASURE_ET_DC_Big_S11ang_10GHz,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.0009,0.2335,False,"(0, 0, 0)",93.096,"(0, 1, 1)",90.899,127.0,2/4,WEAK,
FIC_ET_Bad_Gates,MEASURE_ET_DC_Diode_S11_dB_rev_9p5,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.0569,0.2468,False,"(1, 0, 0)",93.189,"(0, 0, 1)",90.972,136.0,3/5,MODERATE,
FIC_ET_Bad_Gates,MEASURE_ET_DC_RF2_S11ang_26GHz,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.0424,0.279,False,"(1, 1, 0)",93.069,"(0, 1, 1)",90.887,105.0,2/5,WEAK,
FIC_ET_Bad_Gates,MEASURE_ET_DC_RF_Imax_W,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.0484,0.1695,False,"(1, 0, 0)",93.107,"(1, 1, 1)",91.087,115.0,3/4,MODERATE,
FIC_ET_Bad_Gates,MEASURE_ET_DC_RF_S22dB_26GHz_W,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.0913,0.2737,False,"(1, 0, 0)",93.597,"(0, 0, 1)",90.745,100.0,2/4,WEAK,
FIC_ET_Bad_Gates,MEASURE_ET_DC_SEC_S_Ig_cut1_mAmm_neg_SD3p5,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.0194,0.127,False,"(1, 1, 0)",93.132,"(0, 0, 1)",90.985,115.0,3/5,MODERATE,
FIC_ET_Bad_Gates,MEASURE_ET_DC_SEC_S_Vg_at_I1_neg_SD3p5,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.0578,0.1762,False,"(1, 0, 0)",92.988,"(0, 0, 1)",91.105,96.0,2/4,WEAK,
FIC_ET_Bad_Gates,MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_first_SD3p5,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.0991,0.2227,False,"(0, 1, 0)",93.03,"(0, 0, 1)",91.01,123.0,0/5,INCONCLUSIVE,
FIC_ET_Bad_Gates,MEASURE_ET_DC_SEC_Vgs_0p1V,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.1622,0.1066,True,"(0, 0, 0)",92.965,"(1, 1, 1)",90.861,130.0,5/5,STRONG,
FIC_ET_Bad_Gates,MEASURE_ET_DC_SEC_X_Bin,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.0403,0.4771,False,"(1, 1, 0)",92.908,"(0, 1, 1)",90.137,125.0,3/5,MODERATE,
FIC_ET_Bad_Gates,MEASURE_ET_DC_SEC_X_Id_at_Vboff_mA_mm_SD3p5,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.0717,0.1867,False,"(1, 0, 0)",93.509,"(1, 1, 1)",90.813,102.0,1/5,WEAK,
FIC_ET_Bad_Gates,MEASURE_ET_DC_SEC_X_Vg_at_I2_pos,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.0119,0.0667,False,"(0, 1, 0)",93.017,"(0, 0, 1)",90.989,111.0,2/4,WEAK,
FIC_ET_Bad_Gates,MEASURE_ET_DC_SMALL_Ids_m0p2,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.092,0.2725,False,"(0, 0, 0)",93.172,"(0, 1, 1)",90.439,122.0,2/5,WEAK,
FIC_ET_Bad_Gates,MEASURE_ET_DC_SMALL_Vp_1,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.0819,0.1867,False,"(0, 1, 0)",92.966,"(0, 0, 1)",90.782,136.0,2/5,WEAK,
FIC_ET_Bad_Gates,MEASURE_ET_Load_Pull_Gss,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.0981,0.1423,False,"(1, 1, 0)",92.997,"(0, 1, 1)",90.743,117.0,5/5,MODERATE,
FIC_ET_Bad_Gates,MEASURE_ET_RF_Modeling_Id_search,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.0388,0.4269,False,"(0, 0, 0)",93.381,"(0, 1, 1)",90.129,113.0,3/3,MODERATE,
FIC_ET_Bad_Gates,MEASURE_ET_RF_Modeling_S22dB_10GHz,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.1388,0.1709,False,"(0, 0, 0)",92.868,"(0, 0, 1)",90.866,98.0,4/5,MODERATE,
FIC_ET_Bad_Gates,MEASURE_ET_RF_Modeling_ids_m0p2_W,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.0279,0.1581,False,"(0, 0, 0)",92.995,"(0, 1, 1)",91.086,132.0,1/5,WEAK,
FIC_ET_Bad_Gates,MEASURE_ET_Rc_F_AB_2,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.3467,0.089,True,"(0, 0, 0)",93.302,"(0, 0, 1)",90.984,125.0,3/4,MODERATE,
FIC_ET_Bad_Gates,MEASURE_ET_Rc_OG142,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.2199,0.2046,True,"(1, 1, 0)",93.232,"(0, 1, 1)",90.936,126.0,3/5,MODERATE,
FIC_ET_Bad_Gates,MEASURE_ET_Rc_OG142_GN,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.2184,0.3396,False,"(0, 0, 0)",93.579,"(0, 1, 1)",90.331,97.0,3/5,MODERATE,
FIC_ET_Bad_Gates,MEASURE_ET_Rc_OG144,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.1143,0.5595,False,"(0, 0, 0)",93.282,"(0, 1, 1)",89.632,89.0,2/4,WEAK,
FIC_ET_Bad_Gates,MEASURE_ET_Rc_TF_AB_2,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.3248,0.1016,True,"(0, 0, 0)",93.13,"(1, 1, 1)",90.807,119.0,3/3,MODERATE,
FIC_ET_Bad_Gates,MEASURE_ET_Rc_an_ct2,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.0102,0.4168,False,"(0, 0, 0)",93.325,"(0, 1, 1)",89.829,112.0,4/4,MODERATE,
FIC_ET_Bad_Gates,MEASURE_ET_Rc_cat_ct2_OW_ST,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.2933,0.2554,True,"(0, 0, 0)",93.514,"(0, 1, 1)",90.85,128.0,3/5,MODERATE,
FIC_ET_Bad_Gates,MEASURE_ET_Rcat_cn_1_OW_ST,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.1217,0.3606,False,"(0, 0, 0)",93.262,"(0, 1, 1)",90.526,105.0,2/4,WEAK,
FIC_ET_Bad_Gates,MEASURE_ET_Rcat_cn_2,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.2167,0.2059,True,"(1, 1, 0)",93.157,"(0, 1, 1)",90.86,127.0,5/5,STRONG,
FIC_ET_Bad_Gates,MEASURE_ET_Rsh_cat_c2,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.1477,0.3444,False,"(0, 0, 0)",93.552,"(0, 1, 1)",91.06,107.0,4/5,MODERATE,
FIC_ET_Bad_Gates,MESA_ET_Probe_Number,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.0175,0.3386,False,"(1, 0, 0)",93.483,"(0, 0, 1)",90.647,117.0,1/5,WEAK,
FIC_ET_Bad_Gates,OHMIC_ET_OHMC,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.1585,0.3175,False,"(0, 0, 0)",93.376,"(0, 1, 1)",90.534,111.0,2/5,WEAK,
FIC_ET_Bad_Gates,OHMIC_ET_Rc_an_ct2,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.1747,0.3794,False,"(0, 0, 0)",93.303,"(0, 1, 1)",90.268,124.0,3/3,MODERATE,
FIC_ET_Bad_Gates,OHMIC_ET_Rsh_an_ct2,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.0001,0.0667,False,"(1, 0, 0)",93.107,"(0, 1, 1)",90.586,117.0,2/3,WEAK,
FIC_ET_Bad_Gates,SIN_GATE_ET_Rc_OG142_GN,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.1406,0.3034,False,"(0, 0, 0)",93.401,"(0, 1, 1)",90.083,124.0,2/4,WEAK,
FIC_ET_Bad_Gates,SIN_GATE_ET_Rc_an_ct2,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.061,0.284,False,"(0, 0, 0)",93.225,"(0, 1, 1)",90.201,135.0,1/3,WEAK,
FIC_ET_Bad_Gates,TFRP_ET_Rc_TF_AB_2,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.2086,0.327,False,"(0, 0, 0)",93.131,"(0, 1, 1)",90.695,102.0,3/3,MODERATE,
FIC_ET_Bad_Gates,THIN_ET_C_AN_2,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.1989,0.2322,False,"(1, 1, 0)",92.811,"(0, 1, 1)",90.285,144.0,3/5,MODERATE,
FIC_ET_Bad_Gates,THIN_ET_R314,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.2056,0.2667,False,"(1, 0, 0)",93.305,"(0, 0, 1)",90.505,109.0,5/5,MODERATE,
FIC_ET_Bad_Gates,THIN_ET_Rc_F_AB_2,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.1466,0.2265,False,"(0, 0, 0)",93.023,"(0, 1, 1)",90.458,82.0,2/2,WEAK,
FIC_ET_Bad_Gates,THIN_ET_Rc_OG142,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.0793,0.3112,False,"(0, 0, 0)",93.385,"(0, 1, 1)",89.736,121.0,1/5,WEAK,
FIC_ET_Bad_Gates,THIN_ET_Rc_TF_AB_2,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.1059,0.2901,False,"(0, 0, 0)",93.048,"(0, 1, 1)",90.327,116.0,4/5,MODERATE,
FIC_ET_Bad_Gates,THIN_ET_Rc_cat_ct2,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.0618,0.3007,False,"(1, 1, 0)",93.095,"(0, 1, 1)",90.591,132.0,4/5,MODERATE,
FIC_ET_Bad_Gates,THIN_ET_Rc_f_hr_23,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.0278,0.5125,False,"(0, 0, 0)",93.184,"(0, 1, 1)",89.909,118.0,1/4,WEAK,
FIC_ET_Bad_Gates,THIN_ET_Rc_f_tn_23,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.1038,0.2676,False,"(0, 0, 0)",93.233,"(0, 1, 1)",90.407,144.0,3/5,MODERATE,
FIC_ET_Bad_Gates,THIN_ET_Rcat_cn_1_OW_ST,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.0499,0.1295,False,"(0, 0, 0)",93.08,"(0, 1, 1)",90.506,118.0,2/3,WEAK,
FIC_ET_Bad_Gates,THIN_ET_Rcat_cn_2_OW_ST,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.2322,0.2589,False,"(1, 1, 0)",93.227,"(0, 1, 1)",90.567,112.0,4/5,MODERATE,
FIC_ET_Bad_Gates,THIN_ET_Rsh_an_ct2,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.0673,0.296,False,"(0, 0, 0)",92.817,"(0, 1, 1)",90.107,109.0,2/4,WEAK,
FIC_ET_Bad_Gates,THIN_ET_TF_AB_1,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.1389,0.2077,False,"(0, 0, 0)",93.116,"(0, 1, 1)",90.583,127.0,4/5,MODERATE,
FIC_ET_Bad_Gates,THIN_ET_sh_f_hr_23,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.0957,0.3046,False,"(1, 1, 0)",93.059,"(0, 1, 1)",90.695,77.0,3/3,MODERATE,
FIC_ET_Bad_Gates,THIN_Measure2_Thickness_after_grinding,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4295,0.4104,True,"(1, 0, 0)",92.857,"(0, 1, 1)",89.576,113.0,5/5,STRONG,
FIC_ET_Bad_Gates,TOPSIN_ET_C100CapPARCAP,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.0331,0.2492,False,"(0, 0, 0)",93.209,"(0, 1, 1)",90.039,126.0,2/5,WEAK,
FIC_ET_Bad_Gates,TOPSIN_ET_DC_PIV_Drain_Lag_1,TOPSIN_ET_DC_RF_Vg_max_Vd,-0.2942,0.0725,True,"(1, 0, 1)",92.909,"(1, 1, 1)",90.875,126.0,5/5,STRONG,
FIC_ET_Bad_Gates,TOPSIN_ET_DC_PIV_Drain_Lag_1,TOPSIN_ET_DC_SMALL_Vdg_max,0.2358,0.0353,True,"(1, 0, 0)",93.213,"(0, 1, 1)",90.762,100.0,4/5,STRONG,
FIC_ET_Bad_Gates,TOPSIN_ET_DC_PIV_Drain_Lag_1,TOPSIN_ET_OHMC,-0.1693,0.0338,True,"(0, 0, 0)",92.909,"(0, 1, 0)",91.001,138.0,4/5,STRONG,
FIC_ET_Bad_Gates,TOPSIN_ET_DC_PIV_Drain_Lag_1,TOPSIN_ET_R_f_hr_2,-0.1144,0.2676,False,"(0, 0, 0)",92.915,"(1, 1, 1)",90.596,117.0,4/5,MODERATE,
FIC_ET_Bad_Gates,TOPSIN_ET_DC_PIV_Drain_Lag_1,TOPSIN_ET_Rc_OG142_GN,-0.1801,0.2078,False,"(0, 0, 0)",93.297,"(0, 1, 1)",90.966,130.0,3/4,MODERATE,
FIC_ET_Bad_Gates,TOPSIN_ET_DC_PIV_Drain_Lag_1,TOPSIN_ET_Rc_OG144,-0.1484,0.2024,False,"(0, 0, 0)",93.409,"(0, 1, 1)",90.703,125.0,2/5,WEAK,
FIC_ET_DC_RF_Ids_m0p2,MEASURE_ET_DC_RF2_S22dB_26GHz,THIN_ET_lkg_100_at20V,0.1001,0.1443,False,"(0, 0, 0)",92.938,"(0, 1, 1)",91.086,145.0,5/5,MODERATE,
FIC_ET_DC_RF_Ids_m0p2,MEASURE_ET_Rc_OG142_GN,THIN_ET_lkg_100_at20V,-0.2234,0.0881,True,"(0, 0, 0)",93.468,"(1, 1, 1)",90.595,127.0,5/5,STRONG,
FIC_ET_DC_RF_Ids_m0p2,MEASURE_ET_Rcat_cn_2,THIN_ET_lkg_100_at20V,-0.2587,0.244,True,"(0, 0, 0)",93.064,"(0, 0, 1)",90.773,114.0,4/4,STRONG,
FIC_ET_DC_RF_Ids_m0p2,SIN_GATE_ET_Rc_an_ct2,THIN_ET_lkg_100_at20V,-0.2258,0.2346,False,"(0, 0, 0)",93.052,"(1, 1, 1)",90.186,123.0,4/5,MODERATE,
FIC_ET_DC_RF_Vp_1,MEASURE_ET_DC_SEC_X_Bin,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.1058,0.5248,False,"(1, 0, 0)",93.003,"(1, 1, 1)",89.739,112.0,2/5,WEAK,
FIC_ET_DC_RF_Vp_1,MEASURE_ET_DC_SMALL_Ids_m0p2,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.2255,0.1252,True,"(1, 0, 0)",93.369,"(0, 1, 1)",90.604,102.0,5/5,STRONG,
FIC_ET_DC_RF_Vp_1,MEASURE_ET_Rc_OG142_GN,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.228,0.3451,False,"(1, 0, 0)",93.113,"(1, 1, 1)",89.121,61.0,2/4,WEAK,
FIC_ET_DC_RF_Vp_1,THIN_ET_sh_f_hr_23,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.0731,0.0672,True,"(1, 0, 0)",92.873,"(1, 1, 1)",91.095,113.0,4/4,STRONG,
FIC_ET_DC_RF_Vp_1,TOPSIN_ET_DC_PIV_Drain_Lag_1,TOPSIN_ET_DC_SMALL_Vdg_max,0.0057,0.1676,False,"(1, 0, 0)",92.891,"(0, 1, 1)",90.906,113.0,4/5,MODERATE,
FIC_ET_Probe_Number,MEASURE_ET_DC_SEC_X_Bin,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.126,0.4766,False,"(1, 0, 0)",93.246,"(0, 1, 1)",90.117,108.0,3/5,MODERATE,
